STATION,NAME,DATE,TAVG
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/19/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/20/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/21/2017,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/22/2017,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/23/2017,24
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/24/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/25/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/26/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/27/2017,39
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/28/2017,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/29/2017,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/30/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3/31/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/1/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/2/2017,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/3/2017,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/4/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/5/2017,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/6/2017,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/7/2017,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/8/2017,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/9/2017,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/10/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/11/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/12/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/13/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/14/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/15/2017,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/16/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/17/2017,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/18/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/19/2017,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/20/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/21/2017,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/22/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/23/2017,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/24/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/25/2017,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/26/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/27/2017,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/28/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/29/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4/30/2017,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/1/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/2/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/3/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/4/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/5/2017,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/6/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/7/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/8/2017,43
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/9/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/10/2017,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/11/2017,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/12/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/13/2017,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/14/2017,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/15/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/16/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/17/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/18/2017,79
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/19/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/20/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/21/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/22/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/23/2017,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/24/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/25/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/26/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/27/2017,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/28/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/29/2017,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/30/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5/31/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/1/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/2/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/3/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/4/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/5/2017,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/6/2017,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/7/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/8/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/9/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/10/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/11/2017,78
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/12/2017,80
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/13/2017,80
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/14/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/15/2017,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/16/2017,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/17/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/18/2017,78
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/19/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/20/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/21/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/22/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/23/2017,77
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/24/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/25/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/26/2017,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/27/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/28/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/29/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/30/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/1/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/2/2017,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/3/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/4/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/5/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/6/2017,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/7/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/8/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/9/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/10/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/11/2017,75
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/12/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/13/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/14/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/15/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/16/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/17/2017,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/18/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/19/2017,78
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/20/2017,77
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/21/2017,75
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/22/2017,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/23/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/24/2017,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/25/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/26/2017,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/27/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/28/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/29/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/30/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/31/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/1/2017,75
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/2/2017,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/3/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/4/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/5/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/6/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/7/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/8/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/9/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/10/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/11/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/12/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/13/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/14/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/15/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/16/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/17/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/18/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/19/2017,75
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/20/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/21/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/22/2017,78
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/23/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/24/2017,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/25/2017,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/26/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/27/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/28/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/29/2017,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/30/2017,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/31/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/1/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/2/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/3/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/4/2017,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/5/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/6/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/7/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/8/2017,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/9/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/10/2017,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/11/2017,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/12/2017,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/13/2017,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/14/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/15/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/16/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/17/2017,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/18/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/19/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/20/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/21/2017,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/22/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/23/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/24/2017,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/25/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/26/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/27/2017,76
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/28/2017,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/29/2017,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/30/2017,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/1/2017,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/2/2017,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/3/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/4/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/5/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/6/2017,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/7/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/8/2017,72
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/9/2017,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/10/2017,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/11/2017,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/12/2017,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/13/2017,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/14/2017,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/15/2017,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/16/2017,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/17/2017,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/18/2017,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/19/2017,58
