time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-20T04:49:48.100Z,36.9230003,-121.5253296,4.87,2.83,md,70,57,0.04841,0.19,nc,nc73695371,2022-02-20T15:27:58.429Z,"9km N of San Juan Bautista, CA",earthquake,0.24,0.54,0.13,85,automatic,nc,nc
2022-02-20T04:07:31.486Z,-3.5402,131.3474,10,4.7,mb,,84,1.091,1,us,us7000gmch,2022-02-20T04:37:09.040Z,"270 km E of Amahai, Indonesia",earthquake,6,1.9,0.153,17,reviewed,us,us
2022-02-20T03:12:57.493Z,-15.1427,-173.4848,10,4.9,mb,,61,2.054,0.99,us,us7000gmcb,2022-02-20T03:33:28.040Z,"95 km NNE of Hihifo, Tonga",earthquake,4.7,1.9,0.059,92,reviewed,us,us
2022-02-20T02:30:46.729Z,31.6359,-104.52,5,2.5,mb_lg,,70,0.036,0.42,us,us7000gmc1,2022-02-20T02:46:56.040Z,"61 km SSW of Whites City, New Mexico",earthquake,1.3,2,0.147,24,reviewed,us,us
2022-02-20T01:42:03.750Z,19.2955,-65.089,37,3.54,md,8,311,1.0067,0.34,pr,pr2022051001,2022-02-20T02:42:48.968Z,"106 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.79,20.36,0.04,2,reviewed,pr,pr
2022-02-20T01:24:52.260Z,17.98566667,-66.88233333,15.08,2.5,md,5,102,,0.05,pr,pr71335953,2022-02-20T04:17:29.694Z,"1 km NE of Maria Antonia, Puerto Rico",earthquake,0.59,0.54,0.101143282,4,reviewed,pr,pr
2022-02-20T01:23:24.506Z,38.2096,-117.741,7,2.5,ml,34,58.34,0.135,0.3454,nn,nn00834180,2022-02-20T01:53:15.040Z,"37 km ESE of Mina, Nevada",earthquake,,0.5,0.27,17,automatic,nn,nn
2022-02-20T00:50:04.425Z,-7.6182,117.3405,312.11,4.5,mb,,64,3.268,1.07,us,us7000gmbj,2022-02-20T01:04:27.040Z,"89 km N of Pototano, Indonesia",earthquake,8.3,8.2,0.077,49,reviewed,us,us
2022-02-20T00:49:23.447Z,53.8728,-164.1369,43.43,3.9,mb,,192,0.71,0.64,us,us7000gmbi,2022-02-20T02:55:17.040Z,"111 km ESE of Akutan, Alaska",earthquake,5.2,11.1,0.163,11,reviewed,us,us
2022-02-19T23:24:32.890Z,19.17000008,-155.5063324,33.68999863,2.50999999,md,28,98,,0.200000003,hv,hv72922632,2022-02-19T23:33:41.829Z,"4 km SW of P?hala, Hawaii",earthquake,0.61,1.21000004,1.25,3,automatic,hv,hv
2022-02-19T23:19:34.430Z,19.17266667,-155.4953333,35.03,3.7,ml,57,94,,0.11,hv,hv72922627,2022-02-20T06:00:57.588Z,"3 km SSW of P?hala, Hawaii",earthquake,0.38,0.47,0.205692019,38,reviewed,hv,hv
2022-02-19T23:18:19.169Z,-6.0972,154.8729,101.26,4.9,mb,,67,6.025,0.67,us,us7000gmb5,2022-02-19T23:33:56.040Z,"71 km WNW of Panguna, Papua New Guinea",earthquake,10.9,7.9,0.073,59,reviewed,us,us
2022-02-19T22:53:38.900Z,19.5595,-66.1123,52,3.53,md,15,250,1.3721,0.52,pr,pr2022050001,2022-02-19T23:31:39.905Z,"121 km N of San Juan, Puerto Rico",earthquake,4.3,19.35,0.07,8,reviewed,pr,pr
2022-02-19T22:43:05.705Z,47.5045,-70.0547,16.7,2.9,ml,,101,0.188,0.36,us,us7000gmcv,2022-02-20T05:57:22.040Z,"13 km NW of Saint-Pacôme, Canada",earthquake,3.9,4.8,0.064,32,reviewed,us,us
2022-02-19T22:35:55.629Z,69.6824,-144.1398,10,3.2,ml,,144,3.158,0.58,us,us7000gmaw,2022-02-19T22:45:11.040Z,"53 km SSW of Kaktovik, Alaska",earthquake,8.1,1.8,0.085,18,reviewed,us,us
2022-02-19T22:30:43.750Z,19.2435,-65.1536,32,3.71,md,10,308,0.9448,0.3,pr,pr2022050000,2022-02-19T23:28:53.201Z,"102 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.01,19.89,0.06,6,reviewed,pr,pr
2022-02-19T22:17:28.270Z,38.5511667,-112.2113333,3.59,3.53,ml,17,112,0.0474,0.17,uu,uu60482552,2022-02-20T16:44:09.542Z,"8 km S of Joseph, Utah",earthquake,0.75,2.08,0.173,28,reviewed,uu,uu
2022-02-19T22:05:21.480Z,19.18600082,-155.4896698,34.77999878,2.63,ml,50,72,,0.109999999,hv,hv72922582,2022-02-19T23:55:48.040Z,"2 km SSW of P?hala, Hawaii",earthquake,0.49,0.680000007,3.65,24,automatic,hv,hv
2022-02-19T21:35:37.600Z,40.292,-124.4191667,8.51,3.14,ml,29,239,0.05868,0.13,nc,nc73695251,2022-02-20T02:31:10.527Z,"12km WSW of Petrolia, CA",earthquake,0.46,0.31,0.179,29,reviewed,nc,nc
2022-02-19T21:26:44.637Z,62.3739,-147.4661,11.2,3,ml,,,,0.81,ak,ak0222b1j4k7,2022-02-19T23:06:13.040Z,Central Alaska,earthquake,,0.3,,,automatic,ak,ak
2022-02-19T19:38:13.794Z,60.9325,-138.2121,3.64,3.2,ml,,89,0.36,0.85,us,us7000gm9x,2022-02-19T22:04:42.040Z,"43 km WNW of Haines Junction, Canada",earthquake,4,7.5,0.045,66,reviewed,us,us
2022-02-19T16:46:52.809Z,-56.6291,-142.9057,10,5.4,mb,,66,24.857,0.85,us,us7000gm8t,2022-02-20T16:50:27.598Z,Pacific-Antarctic Ridge,earthquake,10.8,1.8,0.091,41,reviewed,us,us
2022-02-19T14:45:11.512Z,-23.7173,-175.5276,10,5.1,mb,,154,5.923,0.97,us,us7000gm89,2022-02-19T15:03:02.040Z,"270 km SSW of ‘Ohonua, Tonga",earthquake,7.4,1.8,0.092,38,reviewed,us,us
2022-02-19T12:16:22.551Z,18.5103,121.245,61.29,4.4,mb,,109,4.288,0.42,us,us7000gm7i,2022-02-19T12:55:09.040Z,"6 km W of Santa Cruz, Philippines",earthquake,10.7,8.8,0.105,30,reviewed,us,us
2022-02-19T11:14:49.047Z,28.2549,142.9535,10,5,mb,,93,5.547,0.51,us,us7000gm7f,2022-02-19T11:38:39.040Z,"Bonin Islands, Japan region",earthquake,9.5,1.9,0.032,308,reviewed,us,us
