time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-09T02:16:58.590Z,-30.2246,-71.39,43.81,4.6,mwr,,94,0.495,1,us,us1000jcrf,2019-03-09T03:12:55.010Z,"30km S of Coquimbo, Chile",earthquake,5.8,6.1,0.039,62,reviewed,us,us
2019-03-08T17:20:09.560Z,18.1065,40.1172,10,4.6,mb,,65,7.049,0.79,us,us1000jcfn,2019-03-09T16:52:19.040Z,"151km SW of Al Qunfidhah, Saudi Arabia",earthquake,8.5,1.9,0.065,71,reviewed,us,us
2019-03-08T15:06:16.000Z,10.3874,126.08,54.4,6,mww,,103,3.333,1.01,us,us1000jccx,2019-03-10T05:36:11.701Z,"40km N of Santa Monica, Philippines",earthquake,8.9,6.2,0.071,19,reviewed,us,us
2019-03-08T12:51:36.690Z,-32.4223,-175.9897,10,5,mb,,78,6.941,0.35,us,us1000jccb,2019-03-08T13:14:21.040Z,"296km ESE of L'Esperance Rock, New Zealand",earthquake,12,1.9,0.113,25,reviewed,us,us
2019-03-08T11:57:18.570Z,-32.1873,-178.1324,10,5,mb,,77,6.108,0.63,us,us1000jcbz,2019-03-08T12:16:36.040Z,"110km SE of L'Esperance Rock, New Zealand",earthquake,10.2,1.9,0.062,84,reviewed,us,us
2019-03-08T09:38:33.440Z,-7.8024,118.9751,10,4.5,mb,,75,2.875,0.34,us,us1000jcb8,2019-03-08T10:28:40.040Z,"54km N of Sangiang, Indonesia",earthquake,6.7,1.9,0.106,26,reviewed,us,us
2019-03-08T05:32:55.640Z,-3.9187,139.9206,10,5.2,mb,,37,7.665,1.27,us,us1000jc9b,2019-03-08T20:26:34.040Z,"160km SSW of Abepura, Indonesia",earthquake,7.9,1.8,0.059,94,reviewed,us,us
2019-03-08T02:32:13.960Z,22.4546,121.4121,10,5.4,mww,,54,0.474,1.23,us,us1000jc88,2019-03-09T02:34:03.367Z,"43km SE of Taitung City, Taiwan",earthquake,2.2,1.8,0.071,19,reviewed,us,us
2019-03-07T22:23:57.200Z,-2.4202,140.2639,10,4.6,mb,,69,7.106,0.43,us,us1000jc4z,2019-03-07T22:48:13.732Z,"42km WNW of Abepura, Indonesia",earthquake,11.6,1.9,0.107,26,reviewed,us,us
2019-03-07T22:11:50.727Z,58.6011,-155.154,135.7,4.8,ml,,,,0.84,ak,ak01931imwnj,2019-03-08T07:42:18.705Z,"88km E of King Salmon, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-03-07T20:16:16.950Z,48.444,153.0854,128.23,4.9,mb,,137,5.51,0.96,us,us1000jc18,2019-03-07T20:42:55.040Z,Kuril Islands,earthquake,9.9,6.9,0.037,233,reviewed,us,us
2019-03-07T16:29:49.460Z,54.7765,-164.8007,167.37,4.7,mww,,53,0.188,1.27,us,us1000jbxd,2019-03-08T19:58:35.040Z,"89km W of False Pass, Alaska",earthquake,4,4.9,0.117,7,reviewed,us,us
2019-03-07T16:29:09.320Z,-32.4748,-178.4034,20.8,5.7,mww,,58,5.748,0.82,us,us1000jbxf,2019-03-08T19:52:09.213Z,"124km SSE of L'Esperance Rock, New Zealand",earthquake,11.1,3.5,0.045,48,reviewed,us,us
2019-03-07T16:25:39.840Z,35.5669,31.0864,42.52,4.5,mb,,100,1.373,0.98,us,us1000jbx8,2019-03-08T19:38:49.040Z,"109km SE of Beykonak, Turkey",earthquake,5.5,6.3,0.072,58,reviewed,us,us
2019-03-07T15:34:28.310Z,-29.4639,-72.6716,17,5.7,mww,,26,1.503,0.92,us,us1000jbws,2019-03-08T18:59:23.759Z,"139km WNW of Coquimbo, Chile",earthquake,5.4,1.7,0.047,43,reviewed,us,us
2019-03-07T15:27:24.260Z,-32.5952,-177.052,10,5.5,mww,,55,6.247,1.28,us,us1000jbwr,2019-03-08T18:14:57.221Z,"217km SE of L'Esperance Rock, New Zealand",earthquake,6.5,1.8,0.053,34,reviewed,us,us
2019-03-07T13:02:41.350Z,-32.2823,-178.1343,10,4.9,mb,,72,6.023,0.93,us,us1000jbuz,2019-03-07T13:58:05.040Z,"118km SE of L'Esperance Rock, New Zealand",earthquake,12,1.7,0.106,28,reviewed,us,us
2019-03-07T11:31:38.880Z,30.4298,141.3994,47.15,4.8,mb,,74,2.998,1.24,us,us1000jbu4,2019-03-07T11:55:07.040Z,"Izu Islands, Japan region",earthquake,7.2,7.9,0.067,68,reviewed,us,us
2019-03-07T10:59:25.860Z,-22.0369,-175.5047,10,4.8,mb,,65,5.998,1,us,us1000jbts,2019-03-07T11:29:46.040Z,"96km SW of `Ohonua, Tonga",earthquake,9.2,1.9,0.065,74,reviewed,us,us
2019-03-07T10:56:05.520Z,38.6739,69.868,10,4.7,mwr,,38,0.478,0.96,us,us1000jbth,2019-03-07T11:12:59.040Z,"12km S of Roghun, Tajikistan",earthquake,4.4,1.9,0.078,16,reviewed,us,us
2019-03-07T09:46:00.010Z,51.7308,-175.2903,40.96,5.1,mww,,148,0.824,0.99,us,us1000jbsv,2019-03-07T17:00:31.040Z,"91km SW of Atka, Alaska",earthquake,7,6.4,0.073,18,reviewed,us,us
2019-03-07T09:32:35.710Z,-26.4798,27.5573,10,4.8,mb,,49,2.292,0.85,us,us1000jbsq,2019-03-08T19:01:47.538Z,"6km E of Fochville, South Africa",earthquake,5.7,1.9,0.097,33,reviewed,us,us
2019-03-07T08:43:41.690Z,-8.1453,108.5158,101.69,4.6,mb,,74,2.001,0.85,us,us1000jbs5,2019-03-07T09:04:30.040Z,"37km SSE of Sindangsari, Indonesia",earthquake,8.6,7.6,0.109,25,reviewed,us,us
2019-03-07T05:50:37.110Z,-18.8288,-69.4001,110.77,5,mb,,71,0.905,1.44,us,us1000jbqi,2019-03-07T17:18:47.040Z,"71km SSE of Putre, Chile",earthquake,6,5.3,0.03,355,reviewed,us,us
2019-03-07T04:05:13.970Z,-6.3364,-79.2298,61.46,5.2,mb,,131,6.089,0.82,us,us1000jbpr,2019-03-07T17:12:17.040Z,"37km NNE of Chongoyape, Peru",earthquake,9.9,6.6,0.032,325,reviewed,us,us
2019-03-07T03:53:04.700Z,13.453,-44.6679,10,4.9,mb,,152,19.146,0.6,us,us1000jbpl,2019-03-07T14:54:06.067Z,Northern Mid-Atlantic Ridge,earthquake,9.4,1.9,0.065,73,reviewed,us,us
2019-03-07T03:49:02.130Z,20.8758,120.3265,10,4.9,mb,,103,2.055,1.07,us,us1000jbph,2019-03-07T04:21:17.040Z,"132km SSW of Hengchun, Taiwan",earthquake,4.2,1.9,0.056,101,reviewed,us,us
2019-03-07T02:27:04.940Z,-32.1722,-178.1301,35,5,mb,,95,6.122,1.01,us,us1000jbnu,2019-03-07T02:45:04.040Z,"109km SE of L'Esperance Rock, New Zealand",earthquake,8.7,2,0.081,49,reviewed,us,us
2019-03-06T23:56:53.190Z,2.0983,126.6579,44.04,5,mb,,104,1.496,0.66,us,us1000jblp,2019-03-07T00:15:49.040Z,"155km WNW of Tobelo, Indonesia",earthquake,6.2,4.3,0.052,116,reviewed,us,us
2019-03-06T21:42:54.620Z,-32.1609,-177.7028,10,5.1,mb,,69,6.307,1.06,us,us1000jbhx,2019-03-06T22:05:52.040Z,"139km SE of L'Esperance Rock, New Zealand",earthquake,11.9,1.8,0.072,63,reviewed,us,us
2019-03-06T21:33:46.260Z,17.952,40.2016,10,4.5,mb,,104,6.877,0.69,us,us1000jbib,2019-03-08T06:09:36.040Z,"159km SW of Al Qunfidhah, Saudi Arabia",earthquake,11.7,1.9,0.115,22,reviewed,us,us
2019-03-06T21:33:14.345Z,66.3088,-157.1853,9.3,5.2,mww,,,,0.63,ak,ak0192zumrhu,2019-03-10T00:07:25.218Z,"68km SSW of Kobuk, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-03-06T21:24:02.540Z,17.921,40.1442,10,4.7,mb,,68,6.869,0.86,us,us1000jbhn,2019-03-06T22:36:45.040Z,"165km SW of Al Qunfidhah, Saudi Arabia",earthquake,9.4,1.9,0.065,71,reviewed,us,us
2019-03-06T20:19:58.900Z,-32.2567,-177.784,7.09,5.7,mww,,56,6.19,0.96,us,us1000jbey,2019-03-07T20:21:38.080Z,"139km SE of L'Esperance Rock, New Zealand",earthquake,9.3,3.2,0.073,18,reviewed,us,us
2019-03-06T19:54:13.500Z,17.913,40.2353,10,5,mb,,63,6.829,1.18,us,us1000jbe5,2019-03-06T20:58:20.040Z,"161km SSW of Al Qunfidhah, Saudi Arabia",earthquake,9,1.9,0.069,68,reviewed,us,us
2019-03-06T19:29:26.900Z,23.1285,143.8459,8.28,5,mb,,99,4.227,0.74,us,us1000jbdc,2019-03-06T19:48:57.040Z,"Volcano Islands, Japan region",earthquake,10.8,4.8,0.044,163,reviewed,us,us
2019-03-06T19:26:00.700Z,38.7067,141.7579,63,4.9,mb,,99,1.131,1.21,us,us1000jbd6,2019-03-06T19:59:38.288Z,"40km S of Ofunato, Japan",earthquake,6.4,6.5,0.035,263,reviewed,us,us
2019-03-06T18:47:25.110Z,-4.1175,142.9167,129.13,5.6,mww,,22,4.897,0.98,us,us1000jbaz,2019-03-07T18:49:04.784Z,"15km NNE of Ambunti, Papua New Guinea",earthquake,8.6,4.2,0.051,37,reviewed,us,us
2019-03-06T16:30:17.320Z,55.2272,164.4347,10,4.7,mb,,125,4.056,0.93,us,us1000jb8w,2019-03-06T23:20:49.040Z,"99km W of Nikol'skoye, Russia",earthquake,10.4,1.9,0.037,223,reviewed,us,us
2019-03-06T15:59:01.640Z,-31.8884,-177.926,10,5,mb,,114,7.897,0.73,us,us1000jb8z,2019-03-06T17:01:25.040Z,"105km ESE of L'Esperance Rock, New Zealand",earthquake,7,1.9,0.105,29,reviewed,us,us
2019-03-06T15:46:14.900Z,-32.0264,-177.8792,29,6.4,mww,,29,7.869,0.92,us,us1000jb8d,2019-03-07T15:48:56.048Z,"116km SE of L'Esperance Rock, New Zealand",earthquake,4.1,1.8,0.039,64,reviewed,us,us
2019-03-06T13:57:21.490Z,3.5389,126.9868,48.12,5.1,mb,,73,2.774,1.27,us,us1000jb7q,2019-03-06T14:15:18.040Z,"230km NNW of Tobelo, Indonesia",earthquake,7.5,6.8,0.05,128,reviewed,us,us
2019-03-06T08:39:31.560Z,2.2555,126.922,51.42,4.7,mb,,72,1.539,0.74,us,us1000jb5x,2019-03-06T08:57:35.040Z,"134km WNW of Tobelo, Indonesia",earthquake,8.1,7.3,0.072,59,reviewed,us,us
2019-03-06T07:20:45.320Z,-36.2365,-97.5054,10,5.6,mww,,69,13.552,0.74,us,us1000jb5a,2019-03-07T07:22:21.980Z,West Chile Rise,earthquake,12,1.9,0.073,18,reviewed,us,us
2019-03-06T05:28:23.390Z,-22.7374,171.5782,10,4.7,mb,,113,3.818,1.25,us,us1000jb4p,2019-03-06T06:16:04.040Z,"61km SW of Ile Hunter, New Caledonia",earthquake,12.3,1.9,0.091,37,reviewed,us,us
2019-03-06T05:11:02.780Z,-55.4437,-1.6674,10,5.3,mww,,36,16.3,0.67,us,us1000jb4d,2019-03-07T05:12:57.708Z,Bouvet Island region,earthquake,10.3,1.1,0.083,14,reviewed,us,us
2019-03-06T01:48:09.390Z,10.976,-74.7877,46.57,4.5,mb,,51,4.589,1.04,us,us1000jb2l,2019-03-08T16:13:37.799Z,"1km NE of Barranquilla, Colombia",earthquake,7.2,6.5,0.124,19,reviewed,us,us
2019-03-06T00:13:01.190Z,8.5337,126.9475,17.86,5.7,mww,,47,1.988,0.92,us,us1000jb24,2019-03-08T15:37:35.306Z,"69km ENE of Hinatuan, Philippines",earthquake,7.8,4.2,0.065,23,reviewed,us,us
2019-03-05T22:53:25.750Z,-9.8302,-75.4449,10,4.8,mb,,113,2.545,1.03,us,us1000jb1e,2019-03-05T23:48:42.434Z,"82km N of Oxapampa, Peru",earthquake,2.5,1.9,0.066,71,reviewed,us,us
2019-03-05T21:52:53.580Z,14.3421,-92.864,35,4.9,mb,,161,1.147,1.17,us,us1000jb0d,2019-03-05T23:33:52.809Z,"63km SW of Puerto Madero, Mexico",earthquake,8.1,1.8,0.028,401,reviewed,us,us
2019-03-05T20:09:37.330Z,-2.9051,129.6475,42.11,4.8,mb,,63,2.598,1.14,us,us1000jayg,2019-03-06T20:00:30.040Z,"94km ENE of Amahai, Indonesia",earthquake,7.6,3.4,0.072,63,reviewed,us,us
2019-03-05T18:32:12.910Z,-20.6318,-177.8836,506.62,4.5,mb,,113,6.293,0.99,us,us1000jawx,2019-03-06T19:24:50.040Z,"85km E of Ndoi Island, Fiji",earthquake,12.1,6.5,0.045,141,reviewed,us,us
