time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-25T14:14:05.283Z,38.4657,44.3185,10,4.5,mb,,73,1.001,0.66,us,us70007wg2,2020-02-25T14:37:26.040Z,"23km SSE of Saray, Turkey",earthquake,5.7,1.9,0.086,40,reviewed,us,us
2020-02-25T11:14:04.234Z,24.3895,121.4006,10,5.1,mb,,35,0.278,1.23,us,us70007we1,2020-02-26T16:24:22.270Z,"50km NNW of Hualian, Taiwan",earthquake,5.6,1.8,0.044,167,reviewed,us,us
2020-02-25T06:39:47.962Z,39.5546,143.2295,24.34,4.8,mb,,153,4.585,0.72,us,us70007wbp,2020-02-25T09:13:06.040Z,"110km E of Miyako, Japan",earthquake,10.1,6.6,0.066,71,reviewed,us,us
2020-02-25T04:15:02.857Z,-8.0653,-79.9568,31.93,5.2,mww,,151,4.959,1.09,us,us70007w9l,2020-02-25T16:50:24.323Z,"79km W of Santiago de Cao, Peru",earthquake,10.6,6.3,0.062,25,reviewed,us,us
2020-02-25T02:15:35.841Z,14.0612,145.5006,114.24,4.8,mb,,124,0.772,0.45,us,us70007w8k,2020-02-25T04:46:48.367Z,"33km ESE of Rota, Northern Mariana Islands",earthquake,15.4,10.1,0.042,173,reviewed,us,us
2020-02-25T02:07:28.142Z,-17.7821,-178.8644,530.21,5.2,mb,,85,2.937,0.59,us,us70007w8g,2020-02-25T02:17:08.040Z,"240km SE of Lambasa, Fiji",earthquake,10.2,11.2,0.085,46,reviewed,us,us
2020-02-25T00:49:41.899Z,-23.0059,-69.4219,79.13,4.6,mwr,,77,0.329,1.02,us,us70007w7n,2020-02-25T06:40:19.040Z,"78km SW of Calama, Chile",earthquake,6,4.8,0.053,34,reviewed,us,us
2020-02-25T00:13:31.842Z,13.577,-91.5529,35,4.7,mwr,,136,0.952,0.86,us,us70007w6u,2020-02-25T06:28:45.040Z,"74km SSW of Nueva Concepcion, Guatemala",earthquake,7,2,0.075,17,reviewed,us,us
2020-02-24T20:59:21.015Z,-2.0034,99.8527,10,5.2,mb,,132,2.6,0.78,us,us70007w28,2020-02-26T23:45:19.040Z,"84km ESE of Muara Siberut, Indonesia",earthquake,7.5,1.8,0.056,107,reviewed,us,us
2020-02-24T16:32:58.655Z,-60.3412,-26.1016,10,5,mb,,124,8.267,0.8,us,us70007vzi,2020-02-24T19:24:54.040Z,"147km S of Bristol Island, South Sandwich Islands",earthquake,8.8,1.9,0.094,36,reviewed,us,us
2020-02-24T16:03:00.182Z,39.3572,16.1821,10,4.8,mb,,57,0.481,0.56,us,us70007vtm,2020-02-25T07:26:10.900Z,"2km N of Rende, Italy",earthquake,4.8,1.9,0.071,67,reviewed,us,us
2020-02-24T13:12:06.823Z,27.124,140.2138,471,4.6,mb,,85,1.756,0.69,us,us70007vrd,2020-02-24T14:14:12.040Z,"198km W of Chichi-shima, Japan",earthquake,10.6,6.6,0.041,179,reviewed,us,us
2020-02-24T10:14:22.621Z,-44.7504,167.3591,10,4.8,mb,,97,0.729,1.15,us,us70007vpe,2020-02-24T11:02:44.073Z,"79km NNW of Te Anau, New Zealand",earthquake,4,1.9,0.155,13,reviewed,us,us
2020-02-24T09:00:23.341Z,13.936,-92.6574,10,5,mww,,155,1.101,0.82,us,us70007vnd,2020-02-24T09:34:36.040Z,"80km SW of Ocos, Guatemala",earthquake,4.7,1.9,0.08,15,reviewed,us,us
