Year,Month,Day,flow_cfs
1888,7,5,2110
1888,7,6,3080
1888,7,7,1530
1888,7,8,1420
1888,7,9,1310
1888,7,10,1290
1888,7,11,1310
1888,7,12,1530
1888,7,13,1530
1888,7,14,1290
1888,7,15,1410
1888,7,16,1530
1888,7,17,1320
1888,7,18,1290
1888,7,19,1290
1888,7,20,1290
1888,7,21,1290
1888,7,22,1290
1888,7,23,1290
1888,7,24,1290
1888,7,25,1210
1888,7,26,1210
1888,7,27,1210
1888,7,28,1110
1888,7,29,1160
1888,7,30,1210
1888,7,31,1010
1888,8,1,1110
1888,8,2,1110
1888,8,3,930
1888,8,4,1210
1888,8,5,1250
1888,8,6,1290
1888,8,7,1210
1888,8,8,1110
1888,8,9,1110
1888,8,10,1290
1888,8,11,1410
1888,8,12,1750
1888,8,13,2080
1888,8,14,2970
1888,8,15,2880
1888,8,16,2810
1888,8,17,2380
1888,8,18,2480
1888,8,19,2430
1888,8,20,2380
1888,8,21,2380
1888,8,22,2080
1888,8,23,2210
1888,8,24,1950
1888,8,25,1530
1888,8,26,1410
1888,8,27,1290
1888,8,28,1530
1888,8,29,1410
1888,8,30,1290
1888,8,31,1210
1888,9,1,1410
1888,9,2,1620
1888,9,3,1830
1888,9,4,1530
1888,9,5,1530
1888,9,6,1290
1888,9,7,1410
1888,9,8,1830
1888,9,9,2420
1888,9,10,3010
1888,9,11,2630
1888,9,12,2110
1888,9,13,2080
1888,9,14,2080
1888,9,15,1710
1888,9,16,1710
1888,9,17,1710
1888,9,18,2630
1888,9,19,2680
1888,9,20,3880
1888,9,21,5680
1888,9,22,8630
1888,9,23,6650
1888,9,24,4680
1888,9,25,3390
1888,9,26,4290
1888,9,27,3230
1888,9,28,2680
1888,9,29,2680
1888,9,30,2530
1888,10,1,2380
1888,10,2,2080
1888,10,3,4080
1888,10,4,3230
1888,10,5,3080
1888,10,6,2970
1888,10,7,5100
1888,10,8,7230
1888,10,9,6730
1888,10,10,6230
1888,10,11,5230
1888,10,12,4290
1888,10,13,3450
1888,10,14,4040
1888,10,15,4640
1888,10,16,3860
1888,10,17,3860
1888,10,18,4800
1888,10,19,3860
1888,10,20,4250
1888,10,21,3250
1888,10,22,2250
1888,10,23,4030
1888,10,24,4880
1888,10,25,6330
1888,10,26,5480
1888,10,27,5930
1888,10,28,5930
1888,10,29,5930
1888,10,30,6730
1888,10,31,6730
1888,11,1,6530
1888,11,2,5230
1888,11,3,5480
1888,11,4,5700
1888,11,5,5930
1888,11,6,5070
1888,11,7,5480
1888,11,8,5480
1888,11,9,5930
1888,11,10,11300
1888,11,11,15400
1888,11,12,19500
1888,11,13,18300
1888,11,14,16500
1888,11,15,15400
1888,11,16,17600
1888,11,17,15900
1888,11,18,15900
1888,11,19,15900
1888,11,20,14200
1888,11,21,12100
1888,11,22,10800
1888,11,23,10100
1888,11,24,8880
1888,11,25,7400
1888,11,26,5930
1888,11,27,7630
1888,11,28,10300
1888,11,29,10000
1888,11,30,9080
1888,12,1,8630
1888,12,2,7930
1888,12,3,7230
1888,12,4,7480
1888,12,5,6730
1888,12,6,6530
1888,12,7,6230
1888,12,8,5080
1888,12,9,5250
1888,12,10,5430
1888,12,11,5080
1888,12,12,4680
1888,12,13,3580
1888,12,14,3080
1888,12,15,2980
1888,12,16,5320
1888,12,17,7670
1888,12,18,27300
1888,12,19,20700
1888,12,20,16500
1888,12,21,14800
1888,12,22,11000
1888,12,23,10400
1888,12,24,9780
1888,12,25,9530
1888,12,26,11600
1888,12,27,14200
1888,12,28,19400
1888,12,29,16500
1888,12,30,15400
1888,12,31,14200
1889,1,1,13800
1889,1,2,12200
1889,1,3,11200
1889,1,4,9600
1889,1,5,9100
1889,1,6,10600
1889,1,7,12100
1889,1,8,14200
1889,1,9,12600
1889,1,10,19400
1889,1,11,17600
1889,1,12,15400
1889,1,13,13800
1889,1,14,12100
1889,1,15,11600
1889,1,16,9880
1889,1,17,10500
1889,1,18,14200
1889,1,19,19100
1889,1,20,14600
1889,1,21,10100
1889,1,22,10100
1889,1,23,7680
1889,1,24,7230
1889,1,25,7030
1889,1,26,5930
1889,1,27,5800
1889,1,28,5680
1889,1,29,5930
1889,1,30,5680
1889,1,31,5530
1889,2,1,5280
1889,2,2,5080
1889,2,3,4480
1889,2,4,3880
1889,2,5,3880
1889,2,6,3230
1889,2,7,3230
1889,2,8,3230
1889,2,9,3880
1889,2,10,3800
1889,2,11,3730
1889,2,12,3580
1889,2,13,3580
1889,2,14,3580
1889,2,15,3380
1889,2,16,3080
1889,2,17,3400
1889,2,18,3730
1889,2,19,3880
1889,2,20,4080
1889,2,21,3880
1889,2,22,3730
1889,2,23,3730
1889,2,24,3730
1889,2,25,3730
1889,2,26,3580
1889,2,27,3880
1889,2,28,3880
1889,3,1,3580
1889,3,2,3580
1889,3,3,3730
1889,3,4,3880
1889,3,5,4680
1889,3,6,7480
1889,3,7,6980
1889,3,8,6230
1889,3,9,5230
1889,3,10,5150
1889,3,11,5080
1889,3,12,4230
1889,3,13,4680
1889,3,14,6530
1889,3,15,5930
1889,3,16,5480
1889,3,17,7400
1889,3,18,9330
1889,3,19,10500
1889,3,20,11600
1889,3,21,10500
1889,3,22,10300
1889,3,23,11900
1889,3,24,13600
1889,3,25,15400
1889,3,26,13900
1889,3,27,13200
1889,3,28,13500
1889,3,29,12300
1889,3,30,10700
1889,3,31,9900
1889,4,1,9080
1889,4,2,9780
1889,4,3,10100
1889,4,4,10500
1889,4,5,10300
1889,4,6,9330
1889,4,7,9550
1889,4,8,9780
1889,4,9,10300
1889,4,10,11000
1889,4,11,11900
1889,4,12,13200
1889,4,13,14800
1889,4,14,14800
1889,4,15,14800
1889,4,16,13900
1889,4,17,13200
1889,4,18,13400
1889,4,19,15400
1889,4,20,15900
1889,4,21,17400
1889,4,22,18900
1889,4,23,15900
1889,4,24,14500
1889,4,25,13200
1889,4,26,13000
1889,4,27,14800
1889,4,28,18000
1889,4,29,21200
1889,4,30,22300
1889,5,1,22400
1889,5,2,19400
1889,5,3,15800
1889,5,4,13500
1889,5,5,11700
1889,5,6,9900
1889,5,7,8650
1889,5,8,8130
1889,5,9,7230
1889,5,10,6780
1889,5,11,6780
1889,5,12,6550
1889,5,13,6330
1889,5,14,6330
1889,5,15,5680
1889,5,16,5080
1889,5,17,4680
1889,5,18,5080
1889,5,19,5080
1889,5,20,5080
1889,5,21,10500
1889,5,22,12600
1889,5,23,11600
1889,5,24,11100
1889,5,25,10000
1889,5,26,8630
1889,5,27,7230
1889,5,28,6780
1889,5,29,6330
1889,5,30,5280
1889,5,31,4680
1889,6,1,4280
1889,6,2,5750
1889,6,3,7230
1889,6,4,6330
1889,6,5,6330
1889,6,6,6530
1889,6,7,6330
1889,6,8,6030
1889,6,9,6850
1889,6,10,7680
1889,6,11,10000
1889,6,12,11000
1889,6,13,10800
1889,6,14,9580
1889,6,15,7680
1889,6,16,8000
1889,6,17,8330
1889,6,18,9080
1889,6,19,7680
1889,6,20,6780
1889,6,21,5080
1889,6,22,4680
1889,6,23,4880
1889,6,24,5080
1889,6,25,4280
1889,6,26,3730
1889,6,27,5680
1889,6,28,6780
1889,6,29,7230
1889,6,30,6350
1889,7,1,5480
1889,7,2,4680
1889,7,3,4280
1889,7,4,6680
1889,7,5,9080
1889,7,6,8630
1889,7,7,7700
1889,7,8,6780
1889,7,9,5480
1889,7,10,4680
1889,7,11,5480
1889,7,12,6780
1889,7,13,7230
1889,7,14,7000
1889,7,15,6780
1889,7,16,6330
1889,7,17,5280
1889,7,18,4680
1889,7,19,3880
1889,7,20,7660
1889,7,21,7540
1889,7,22,7430
1889,7,23,5480
1889,7,24,4680
1889,7,25,3880
1889,7,26,3580
1889,7,27,2930
1889,7,28,3250
1889,7,29,3580
1889,7,30,4280
1889,7,31,6330
1889,8,1,6230
1889,8,2,8630
1889,8,3,9580
1889,8,4,9100
1889,8,5,8630
1889,8,6,9580
1889,8,7,6780
1889,8,8,5480
1889,8,9,4680
1889,8,10,4880
1889,8,11,4580
1889,8,12,4280
1889,8,13,3230
1889,8,14,3780
1889,8,15,4030
1889,8,16,3580
1889,8,17,3230
1889,8,18,3100
1889,8,19,2970
1889,8,20,2630
1889,8,21,2330
1889,8,22,2330
1889,8,23,2330
1889,8,24,2330
1889,8,25,2100
1889,8,26,2080
1889,8,27,2330
1889,8,28,2180
1889,8,29,2080
1889,8,30,1830
1889,8,31,1530
1889,9,1,1530
1889,9,2,1530
1889,9,3,1280
1889,9,4,1530
1889,9,5,1530
1889,9,6,1280
1889,9,7,1280
1889,9,8,1340
1889,9,9,1410
1889,9,10,1280
1889,9,11,1250
1889,9,12,1230
1889,9,13,1110
1889,9,14,1110
1889,9,15,1110
1889,9,16,1300
1889,9,17,1800
1889,9,18,2700
1889,9,19,5000
1889,9,20,4000
1889,9,21,3150
1889,9,22,2890
1889,9,23,2630
1889,9,24,2630
1889,9,25,2330
1889,9,26,2330
1889,9,27,2080
1889,9,28,2080
1889,9,29,2080
1889,9,30,2080
1889,10,1,2180
1889,10,2,2380
1889,10,3,3230
1889,10,4,4280
1889,10,5,3730
1889,10,6,4500
1889,10,7,5280
1889,10,8,5480
1889,10,9,5080
1889,10,10,4680
1889,10,11,4280
1889,10,12,3880
1889,10,13,4080
1889,10,14,4280
1889,10,15,3880
1889,10,16,3230
1889,10,17,3230
1889,10,18,3230
1889,10,19,3730
1889,10,20,3480
1889,10,21,3230
1889,10,22,2630
1889,10,23,2630
1889,10,24,2830
1889,10,25,2630
1889,10,26,2380
1889,10,27,2880
1889,10,28,3380
1889,10,29,4680
1889,10,30,5480
1889,10,31,5080
1889,11,1,5080
1889,11,2,4680
1889,11,3,10600
1889,11,4,16500
1889,11,5,13400
1889,11,6,11600
1889,11,7,9530
1889,11,8,8130
1889,11,9,6350
1889,11,10,5920
1889,11,11,5500
1889,11,12,5500
1889,11,13,4650
1889,11,14,6300
1889,11,15,5800
1889,11,16,4650
1889,11,17,4550
1889,11,18,4450
1889,11,19,4430
1889,11,20,4280
1889,11,21,4880
1889,11,22,6330
1889,11,23,7230
1889,11,24,7530
1889,11,25,7830
1889,11,26,7230
1889,11,27,6230
1889,11,28,13700
1889,11,29,18900
1889,11,30,14800
1889,12,1,12800
1889,12,2,10800
1889,12,3,9780
1889,12,4,8880
1889,12,5,6330
1889,12,6,6330
1889,12,7,6330
1889,12,8,8830
1889,12,9,11300
1889,12,10,17100
1889,12,11,18900
1889,12,12,21200
1889,12,13,19500
1889,12,14,17600
1889,12,15,15400
1889,12,16,13200
1889,12,17,12100
1889,12,18,11600
1889,12,19,12100
1889,12,20,13500
1889,12,21,13700
1889,12,22,14500
1889,12,23,15400
1889,12,24,13500
1889,12,25,14700
1889,12,26,15900
1889,12,27,15600
1889,12,28,14800
1889,12,29,13900
1889,12,30,12900
1889,12,31,11300
1890,1,1,9330
1890,1,2,9580
1890,1,3,10300
1890,1,4,11600
1890,1,5,11600
1890,1,6,11600
1890,1,7,12600
1890,1,8,13200
1890,1,9,12600
1890,1,10,8630
1890,1,11,13500
1890,1,12,12600
1890,1,13,11700
1890,1,14,13000
1890,1,15,12800
1890,1,16,19000
1890,1,17,17800
1890,1,18,15000
1890,1,19,15000
1890,1,20,15000
1890,1,21,15500
1890,1,22,12200
1890,1,23,8650
1890,1,24,8400
1890,1,25,7400
1890,1,26,7800
1890,1,27,8200
1890,1,28,6800
1890,1,29,5500
1890,1,30,5900
1890,1,31,6530
1890,2,1,5900
1890,2,2,5370
1890,2,3,4850
1890,2,4,5250
1890,2,5,7450
1890,2,6,8630
1890,2,7,6730
1890,2,8,6730
1890,2,9,7430
1890,2,10,8130
1890,2,11,7230
1890,2,12,6730
1890,2,13,6730
1890,2,14,6530
1890,2,15,12100
1890,2,16,10100
1890,2,17,8130
1890,2,18,7430
1890,2,19,7230
1890,2,20,6330
1890,2,21,5080
1890,2,22,4680
1890,2,23,4880
1890,2,24,5080
1890,2,25,7230
1890,2,26,15600
1890,2,27,17700
1890,2,28,16200
1890,3,1,20400
1890,3,2,18200
1890,3,3,15900
1890,3,4,14800
1890,3,5,13700
1890,3,6,11600
1890,3,7,8130
1890,3,8,7680
1890,3,9,7450
1890,3,10,7230
1890,3,11,6780
1890,3,12,7230
1890,3,13,10500
1890,3,14,12400
1890,3,15,13200
1890,3,16,11900
1890,3,17,10500
1890,3,18,9780
1890,3,19,8880
1890,3,20,7230
1890,3,21,8880
1890,3,22,10500
1890,3,23,11600
1890,3,24,12600
1890,3,25,11100
1890,3,26,14200
1890,3,27,12600
1890,3,28,11100
1890,3,29,10100
1890,3,30,9580
1890,3,31,9080
1890,4,1,8880
1890,4,2,8630
1890,4,3,8630
1890,4,4,11000
1890,4,5,21200
1890,4,6,19000
1890,4,7,16800
1890,4,8,18300
1890,4,9,17600
1890,4,10,17100
1890,4,11,16500
1890,4,12,15400
1890,4,13,16500
1890,4,14,17600
1890,4,15,20100
1890,4,16,21900
1890,4,17,21300
1890,4,18,19400
1890,4,19,17100
1890,4,20,15900
1890,4,21,13700
1890,4,22,11900
1890,4,23,11600
1890,4,24,11000
1890,4,25,10800
1890,4,26,10800
1890,4,27,11400
1890,4,28,12100
1890,4,29,13700
1890,4,30,15600
1890,5,1,13700
1890,5,2,14700
1890,5,3,14200
1890,5,4,13900
1890,5,5,17300
1890,5,6,20700
1890,5,7,25100
1890,5,8,24400
1890,5,9,22500
1890,5,10,13000
1890,5,11,15000
1890,5,12,17100
1890,5,13,15900
1890,5,14,17900
1890,5,15,18700
1890,5,16,18200
1890,5,17,18700
1890,5,18,16800
1890,5,19,15000
1890,5,20,15500
1890,5,21,21500
1890,5,22,22400
1890,5,23,20800
1890,5,24,19400
1890,5,25,16900
1890,5,26,14400
1890,5,27,24300
1890,5,28,21200
1890,5,29,17600
1890,5,30,15900
1890,5,31,13000
1890,6,1,11000
1890,6,2,8930
1890,6,3,7680
1890,6,4,6930
1890,6,5,6780
1890,6,6,8730
1890,6,7,10200
1890,6,8,10600
1890,6,9,11000
