SAMPLE_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH_m,DIVISION,DISTRICT,THANA,UNION,MOUZA,As_ugL,Al_mgL,B__mgL,Ba_mgL,Ca_mgL,Co_mgL,Cr_mgL,Cu_mgL,Fe_mgL,K__mgL,Li_mgL,Mg_mgL,Mn_mgL,Na_mgL,P__mgL,Si_mgL,SO4_mgL,Sr_mgL,V__mgL,Zn_mgL
S98_00701,22.8731,90.7844,1992,Shallow HP TW,10.7,Chittagong,Lakshmipur,Lakshmipur Sadar,Shakchar,Char Ramani Mohan,13,0.04,0.27,0.096,49.6,0.008,0.02,0.008,1.17,11.1,0.003,32.7,0.624,211,0.7,12.2,1.2,0.304,0.006,0.049
S98_00718,23.0194,90.8786,1971,Shallow HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Baksipur,Nandigram,256,0.04,0.04,0.01,56.9,0.008,0.02,0.008,1.74,6.9,0.003,29.9,0.447,7.9,1.2,13.9,0.2,0.246,0.006,0.031
S98_00724,22.965,90.9597,1995,Private HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,Chandra Prabhabag,38,0.04,0.26,0.013,16.6,0.008,0.02,0.008,0.317,7.1,0.003,15.7,0.231,205,0.6,13.8,1.5,0.108,0.006,0.021
S98_00727,22.9253,90.9744,1997,Private HP TW,262.1,Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,Ganipur,8,0.04,0.03,0.383,111,0.008,0.02,0.008,9.46,6.9,0.018,75.8,0.294,201,0.3,27.2,4.9,0.873,0.006,0.067
S98_00733,22.8653,90.9372,1993,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Madna,6,0.07,0.82,0.073,81,0.008,0.02,0.008,0.59,30.2,0.012,124,1.17,1090,0.5,10.3,265,0.797,0.009,0.054
S98_00734,22.8525,90.9058,1990,Village HP TW,182.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Farasganj,6,0.04,0.05,0.069,27.9,0.008,0.02,0.008,0.716,6,0.006,16.9,0.051,43.8,0.2,21.4,0.2,0.216,0.006,0.008
S98_00736,22.8567,90.8642,1991,Unicef/DPHE HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,Char Monasa,15,0.04,0.25,0.014,28.3,0.008,0.02,0.008,0.154,12.4,0.003,22.4,0.295,203,0.3,10.5,6.9,0.176,0.006,0.012
S98_00749,22.9322,90.7767,1994,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,Char Ruhita,65,0.04,0.16,0.052,81.1,0.008,0.02,0.008,3.12,11.9,0.003,67.2,1.79,60.7,0.5,11.6,17.9,0.444,0.006,0.008
S98_00752,22.9347,90.8294,1992,"Urban supply well, DPTW1",318,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,,6,0.04,0.04,0.068,24,0.008,0.02,0.008,1.19,3.7,0.004,16.9,0.076,32.3,0.3,27.2,0.2,0.209,0.006,0.008
S98_00756,22.9414,90.8644,1991,Private HP TW,14,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,142,0.04,0.08,0.011,22,0.008,0.02,0.008,3.92,4.6,0.004,18.6,1.29,48.6,0.4,15.5,0.8,0.13,0.006,0.352
S98_00777,23.5331,89.79,1994,Private HP TW,26.2,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Solakunda,41,0.04,0.02,0.155,115,0.008,0.02,0.008,5.69,3.9,0.003,23.2,0.754,13.1,1.4,14.1,0.2,0.293,0.006,0.016
S98_00781,23.5347,89.8675,1995,Private HP TW,32,Dhaka,Faridpur,Faridpur Sadar,Greda,Jayar,162,0.04,0.05,0.081,49.2,0.008,0.02,0.008,3.37,6.1,0.003,37,0.041,14,2.1,17.1,0.2,0.26,0.006,0.008
S98_00784,23.5969,89.8769,1968,Private HP TW,20.1,Dhaka,Faridpur,Faridpur Sadar,Aliabad,Bhajandanga,57,0.04,0.02,0.136,129,0.008,0.02,0.008,2.21,3.9,0.003,25.9,1.26,9.6,0.3,14.1,0.4,0.428,0.006,0.008
S98_00791,23.6603,89.7639,1978,Private HP TW,28,Dhaka,Faridpur,Faridpur Sadar,Ishan Gopalpur,Durgapur,245,0.04,0.03,0.168,125,0.008,0.02,0.008,5.97,5.2,0.003,28.4,2.86,14.4,0.6,11.8,0.2,0.45,0.006,0.014
S98_00796,23.5825,89.8403,1990,Campus HP TW,137.2,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,6,0.04,0.1,0.123,67.2,0.008,0.02,0.008,1.73,3.4,0.007,28.4,0.371,148,0.3,19.6,0.2,0.353,0.006,0.015
S98_00798,23.5872,89.8133,1988,HP TW,213.4,Dhaka,Faridpur,Faridpur Sadar,Faridpur Paurashava,,6,0.04,0.05,0.229,125,0.008,0.02,0.008,5.74,5.1,0.009,49.1,0.133,67.3,0.2,10.2,0.2,0.58,0.006,6.27
S98_00818,23.6669,89.8369,1987,Private HP TW,21.9,Dhaka,Faridpur,Faridpur Sadar,Char Madhabdia,Dakshin (S) Decree Char Madabdia,6,0.04,0.03,0.125,115,0.008,0.02,0.008,0.119,5.3,0.003,24.3,0.884,12.9,0.2,10.9,21.7,0.415,0.006,0.008
S98_00821,23.5753,89.7178,1997,Private HP TW,18.3,Dhaka,Faridpur,Faridpur Sadar,Krishnanagar,Bhabukdia,132,0.04,0.03,0.151,122,0.008,0.02,0.009,5.57,3.3,0.003,27.5,0.651,17.6,1.1,14.4,0.2,0.357,0.006,0.009
S98_00824,23.6139,89.7936,1995,Private HP TW,15.8,Dhaka,Faridpur,Faridpur Sadar,Majchar,Dayarampur,10,0.04,0.02,0.094,92.1,0.008,0.02,0.008,0.604,3.5,0.003,22.2,0.557,13.3,0.2,15.4,13.5,0.35,0.006,0.008
S98_00829,23.5819,89.835,1994,Private HP TW,36.6,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,6,0.04,0.03,0.078,67,0.008,0.02,0.008,11,4,0.003,46.9,0.088,17,3.2,38,0.3,0.363,0.006,0.008
S98_00854,24.6017,88.2767,1990,Tara pump DPHE,34,Rajshahi,Nawabganj,Nawabganj Sadar,Nawabganj Paurashava,Paurashava,35,0.04,0.01,0.152,110,0.008,0.02,0.008,0.627,5.6,0.003,26.6,0.764,28.6,0.2,14.5,18.7,0.254,0.006,0.008
S98_00858,24.6403,88.3783,1995,Private HP TW,42.7,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Jalahar,6,0.04,0.04,0.062,75.4,0.008,0.02,0.008,0.045,0.8,0.005,24.7,0.035,54.5,0.2,18,3.9,0.391,0.006,0.008
S98_00871,24.6372,88.2381,1990,Private HP TW,29,Rajshahi,Nawabganj,Nawabganj Sadar,Baliadanga,Arazi Simultala,6,0.04,0.01,0.064,86.4,0.008,0.02,0.008,1.52,1.3,0.003,13.5,0.389,17.2,0.2,8.44,6.8,0.281,0.006,0.008
S98_00877,24.6883,88.2633,1987,Private HP TW,29,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Arunbari,6,0.04,0.02,0.142,178,0.008,0.02,0.008,1.02,4.7,0.003,35.2,1.65,39.2,0.2,12.3,99.2,0.396,0.006,0.011
S98_00881,24.6525,88.3139,1993,Private Tara pump,38.1,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Amarak,6,0.04,0.02,0.039,47.2,0.008,0.02,0.008,0.022,0.7,0.008,12.4,0.02,22.4,0.2,20.3,0.2,0.22,0.006,0.022
S98_00883,24.5736,88.2067,1988,Private Tara pump,33.5,Rajshahi,Nawabganj,Nawabganj Sadar,Sundorpur,Kalinagar,8,0.04,0.02,0.093,81,0.008,0.02,0.008,0.461,4.5,0.003,17.8,0.57,8.7,0.2,13.1,0.2,0.305,0.006,0.047
S98_00890,24.5228,88.2683,1998,Private HP TW,19.8,Rajshahi,Nawabganj,Nawabganj Sadar,Debinagar,Debinagar,6,0.04,0.02,0.115,102,0.008,0.02,0.008,0.298,5.6,0.003,23.8,0.435,11.2,0.2,9.33,9.8,0.326,0.006,0.008
S98_00891,24.5022,88.1817,1994,Private HP TW,21.3,Rajshahi,Nawabganj,Nawabganj Sadar,Char Bagadanga,Mal Bagadanga,14,0.04,0.01,0.075,72.7,0.008,0.02,0.008,0.171,4,0.003,15.1,0.607,5.2,0.2,10.5,2.2,0.255,0.006,0.008
S98_00894,24.4844,88.245,1988,Private HP TW,21.3,Rajshahi,Nawabganj,Nawabganj Sadar,Alatuli,Roninagar,6,0.04,0.01,0.089,79.5,0.008,0.02,0.008,0.047,4.8,0.003,14.3,0.419,12.9,0.2,8.49,13,0.264,0.006,0.035
S98_00910,24.6114,88.3478,1986,Private Tara pump,41.1,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Pustampur,6,0.04,0.04,0.092,86.7,0.008,0.02,0.008,0.016,1.1,0.013,34.1,0.135,57.8,0.2,15.1,9.6,0.533,0.006,0.019
S98_02451,23.642,90.609,1986,STW,41,Dhaka,Narayanganj,Sonargaon,Aminpur,Aminpur,324,0.04,0.03,0.066,48.6,0.008,0.02,0.008,8.87,3.4,0.003,12.9,1.91,14,1.1,13.2,0.2,0.222,0.006,0.155
S98_02452,23.723,90.522,1992,STW,59,Dhaka,Narayanganj,Rupganj,Tarabo,Dighi baraba,6,0.04,0.01,0.042,37.9,0.008,0.02,0.008,0.199,1.4,0.006,14.4,0.038,49.6,0.2,29.3,13.9,0.236,0.006,0.008
S98_02453,23.84,90.634,1992,STW,36,Dhaka,Narayanganj,Araihazar,Satgram,Bara nogaon,6,0.04,0.1,0.043,6.84,0.008,0.02,0.008,0.128,2.2,0.006,5.71,0.182,169,0.3,17.3,1,0.0752,0.006,0.008
S98_02454,23.688,90.522,1990,STW,66,Dhaka,Narayanganj,Shiddirganj,Shiddirganj,Shiddirganj,6,0.04,0.03,0.309,83.4,0.009,0.02,0.008,2.5,1.6,0.003,35.3,8.39,52.2,0.4,22.7,0.2,0.52,0.007,0.008
S98_02455,23.667,90.48,1997,STW,31,Dhaka,Narayanganj,Fatulla,Kutubpur,Deolpara,6,0.04,0.1,0.036,33.7,0.008,0.02,0.008,0.425,2.3,0.011,14.8,0.281,207,0.7,20.6,2.1,0.239,0.006,0.008
S98_02456,23.812,90.217,1973,STW,58,Dhaka,Manikganj,Singair,Dhalla,Ulail,6,0.04,0.02,0.041,44.8,0.008,0.02,0.008,0.396,1.6,0.019,17.9,0.299,23.4,0.2,21.1,0.2,0.275,0.006,0.008
S98_02457,23.617,90.499,1995,STW,62,Dhaka,Narayanganj,Narayanganj Sadar,Ward no-05,D.n. road,9,0.04,0.13,0.058,43.4,0.008,0.02,0.008,0.079,3,0.006,34.4,2.3,167,0.7,18.4,0.2,0.358,0.006,0.059
S98_02458,23.615,90.51,1997,STW,61,Dhaka,Narayanganj,Bandar,Bandar,Bandar,6,0.04,0.07,0.133,63.1,0.008,0.02,0.008,0.191,5,0.007,69.7,2.28,80.2,0.3,17.9,7.6,0.566,0.006,0.008
S98_02459,23.902,89.986,1998,STW,15,Dhaka,Manikganj,Manikganj Sadar,Garpara,Panjankhara,6,0.28,0.01,0.041,97.9,0.008,0.02,0.008,1.65,1.7,0.003,22.4,0.967,6.82,0.2,12.6,3.8,0.179,0.006,0.298
S98_02460,23.847,89.829,1997,STW,52,Dhaka,Manikganj,Shibalaya,Ulail,Sibrampur,41,0.04,0.08,0.196,79.9,0.008,0.02,0.008,8.58,4.4,0.003,32,0.133,50.4,1.9,25.2,0.2,0.351,0.006,0.04
S98_02461,23.968,89.83,1985,DTW,82,Dhaka,Manikganj,Daulatpur (M),Chakmirpur,Chakmirpur,46,0.04,0.05,0.138,79.2,0.008,0.02,0.008,2.82,3.9,0.005,25.4,0.195,32.8,0.4,18.6,0.2,0.364,0.006,0.014
S98_02462,23.771,89.915,1980,STW,31,Dhaka,Manikganj,Harirampur,Chala,Kalikapur,60,0.04,0.02,0.221,89.7,0.008,0.02,0.008,5.44,8.3,0.003,39.4,0.343,34.5,0.6,18.3,0.2,0.584,0.006,0.134
S98_02463,23.856,89.939,1980,STW,44,Dhaka,Manikganj,Ghior,Baniajuri,Baniajuri,89,0.04,0.02,0.14,74.3,0.008,0.02,0.008,14.3,4.5,0.003,22.1,0.454,15,1.1,20.8,0.2,0.329,0.006,0.017
S98_02464,23.99,90.044,1978,HTW,24,Dhaka,Manikganj,Saturia,Baliati,Baliati,20,0.04,0.02,0.121,53,0.008,0.02,0.008,10.4,2.6,0.003,23.7,0.67,8.47,1,20,1.2,0.17,0.006,0.046
S98_02465,23.919,90.214,1995,Tara,65,Dhaka,Dhaka,Dhamrai,Dhamrai,Dhamrai,6,0.04,0.01,0.066,96.9,0.008,0.02,0.008,0.145,3.5,0.011,24.3,0.392,38.7,0.2,31.9,27.3,0.722,0.006,0.035
S98_02466,23.835,90.261,1984,DTW,115,Dhaka,Dhaka,Savar,Savar,Dakshin dariapur,6,0.04,0.01,0.024,19.8,0.008,0.02,0.008,0.166,1.9,0.004,6.33,0.029,20.6,0.2,30.1,0.3,0.155,0.008,0.034
S98_02467,23.696,90.347,1992,STW,43,Dhaka,Dhaka,Keraniganj,Basta,Konakhola,6,0.04,0.01,0.043,57.2,0.008,0.02,0.008,0.09,2.9,0.005,18.4,0.086,23,0.2,24.2,33.9,0.408,0.006,0.015
S98_02468,23.616,90.125,1997,STW,60,Dhaka,Dhaka,Dohar,Joypara,Joypara,184,0.04,0.04,0.271,113,0.008,0.02,0.008,8.85,6,0.005,47.7,0.227,29.9,1.4,21.9,1.4,0.579,0.006,0.015
S98_02469,23.651,90.132,1994,STW,20,Dhaka,Dhaka,Nawabganj (Dh),Bandura,Magirkanda,133,0.04,0.03,0.107,74.1,0.008,0.02,0.008,1.56,1.9,0.004,21.1,1.41,76.2,0.6,17.1,1,0.61,0.006,0.013
S98_02470,22.966,89.479,1985,DTW,262,Khulna,Khulna,Phultala,Damodarpur,Damodal,6,0.04,0.13,0.041,31.7,0.008,0.02,0.008,0.042,2.7,0.003,15.2,0.021,110,0.2,12.1,0.2,0.235,0.006,0.133
S98_02471,22.737,89.519,1979,DTW,187,Khulna,Khulna,Batiaghata,Batiaghata,Hetalburia,6,0.04,0.3,0.047,35.5,0.008,0.02,0.008,0.124,4.2,0.007,19.1,0.077,196,0.5,9.38,0.2,0.326,0.006,0.008
S98_02472,22.576,89.325,1991,STW,49,Khulna,Khulna,Paikgachha,Soladana,Paikgachha,130,0.04,0.19,0.706,193,0.008,0.02,0.008,6.75,14.6,0.008,114,0.127,513,2.1,20.6,0.9,1.15,0.006,0.01
S98_02473,22.811,89.038,1985,STW,34,Khulna,Satkhira,Satkhira Sadar,Jhaodanga,Jhaodanga,109,0.04,0.03,0.238,114,0.008,0.02,0.008,7.03,3.5,0.003,26.3,0.064,16.6,0.8,20.4,0.2,0.343,0.006,0.008
S98_02474,22.932,89.668,1994,STW,26,Khulna,Khulna,Terokhada,Terokhada,Terokhada,114,0.04,0.11,0.107,72,0.008,0.02,0.008,2.31,4.1,0.003,17.3,0.039,201,2.4,19.4,1,0.27,0.006,0.008
S98_02475,22.576,89.499,,STW,41,Khulna,Khulna,Dacope,Chalna,Baraikhal,12,0.07,0.83,0.211,75.8,0.008,0.02,0.008,1.58,17.7,0.008,103,0.066,2460,4.5,20.4,2,0.678,0.008,0.016
S98_02476,22.8,89.645,1987,DTW,131,Khulna,Khulna,Rupsa,T.S Bahirdia,Taltala,89,0.04,0.07,0.082,72.8,0.008,0.02,0.008,0.432,5.6,0.007,41.5,0.052,34.6,0.9,17.7,0.2,0.391,0.006,0.008
S98_02477,22.837,89.55,1986,DTW,312,Khulna,Khulna,Khulna Metro,Ward-10,Khalispur,6,0.04,0.19,0.113,40.1,0.008,0.02,0.008,0.525,5.3,0.008,20.8,0.033,186,0.2,12.4,0.2,0.318,0.006,0.008
S98_02478,22.887,89.535,1997,DTW,282,Khulna,Khulna,Dighalia,Dighalia,Dighalia,6,0.04,0.15,0.579,155,0.008,0.02,0.008,0.614,7.5,0.015,82.3,0.091,315,0.8,13.8,1.1,1.17,0.006,0.011
S98_02479,22.871,89.508,1979,STW,60,Khulna,Khulna,Dighalia,Deana,Arunghat,73,0.04,0.26,0.303,55.7,0.008,0.02,0.008,4.28,3.6,0.013,47.2,0.126,804,2.4,12.9,0.6,0.465,0.006,0.012
S98_02480,22.819,89.421,1997,STW,59,Khulna,Khulna,Dumuria,Dumuria,Arzi Dumuria,6,0.04,0.16,0.04,31.8,0.008,0.02,0.008,0.07,0.7,0.013,18.4,0.442,381,0.4,16.4,0.9,0.174,0.006,0.028
S98_02481,22.778,89.706,1994,STW,39,Khulna,Bagerhat,Fakirhat,Bahirdia Mansa,Attaka,121,0.04,0.03,0.128,116,0.008,0.02,0.008,0.352,3.2,0.004,23.7,0.719,16.5,0.3,15.9,2.4,0.296,0.006,0.016
S98_02482,22.52,89.021,1975,STW,20,Khulna,Satkhira,Kaliganj (S),Nalta,Nalta,100,0.04,0.05,0.223,121,0.008,0.02,0.008,6.1,4.8,0.003,38.7,0.129,28.1,2.1,16.8,1.3,0.476,0.006,0.008
S98_02483,22.639,89.041,1991,STW,39,Khulna,Satkhira,Debhata,Kulia,Kulia,176,0.04,0.12,0.289,100,0.008,0.02,0.008,3.29,4.3,0.005,32.6,0.056,278,1.3,16.7,1,0.398,0.006,0.01
S98_02484,22.824,89.748,1995,STW,34,Khulna,Bagerhat,Mollahat,Gaola,Gaola,124,0.04,0.04,0.226,131,0.008,0.02,0.008,13.4,3.7,0.004,34.7,0.128,33.5,1.2,23.4,1.1,0.413,0.006,0.008
S98_02485,22.546,89.652,1990,STW,26,Khulna,Bagerhat,Rampal,Perikhali,Perikhali,505,0.04,0.05,0.328,291,0.008,0.02,0.008,7.16,6.5,0.003,63.4,0.297,127,1.7,13.4,1,1.06,0.006,0.008
S98_02486,23.373,89.371,1986,DTW,115,Khulna,Magura,Shalikha,Arpara,Arpara,78,0.04,0.02,0.201,101,0.008,0.02,0.008,3.6,3.3,0.008,23.1,0.433,21.4,0.3,19.4,0.2,0.326,0.006,0.064
S98_02487,22.86,89.04,1984,STW,39,Khulna,Satkhira,Kalaroa,Helatola,Tulshidanga,147,0.04,0.02,0.21,116,0.008,0.02,0.008,9.21,1.9,0.003,24.8,0.128,36,1.4,19.4,0.2,0.292,0.006,0.03
S98_02488,22.343,89.112,1997,STW,13,Khulna,Satkhira,Shyamnagar,Shyamnagar,Nakipur majat,6,0.04,0.44,0.067,93.9,0.008,0.02,0.008,2.38,22.5,0.013,61,0.194,336,1.1,24.8,0.6,0.552,0.006,0.028
S98_02489,22.75,89.259,1980,STW,22,Khulna,Satkhira,Tala,Tala,Baraihati,106,0.04,0.04,0.227,80.3,0.008,0.02,0.008,3.57,3.5,0.004,22.7,0.087,24.8,1.4,18.5,0.2,0.322,0.006,0.008
S98_02490,22.538,89.24,1975,STW,56,Khulna,Satkhira,Assasuni,Baradal,Baradal,155,0.04,0.26,0.5,105,0.008,0.02,0.008,3.99,12.8,0.008,69.1,0.052,573,2,17.5,1.1,0.665,0.006,0.008
S98_02491,22.763,89.855,1994,STW,45,Khulna,Bagerhat,Chitalmari,Santospur,Santoshpur,217,0.07,0.13,0.282,109,0.008,0.02,0.008,7.52,11.1,0.006,53.5,0.067,362,2.6,20.7,1.2,0.569,0.006,0.012
S98_02492,22.565,89.845,1985,STW,20,Khulna,Bagerhat,Morrelganj,Teligati,Chapri,92,0.04,0.13,0.279,176,0.008,0.02,0.008,7.46,7,0.003,46,0.478,330,1.6,12.6,41.9,0.642,0.006,0.008
S98_02493,22.311,89.846,1992,STW,10,Khulna,Bagerhat,Sarankhola,Khontakata,Amragachia,6,0.04,0.3,0.021,38.7,0.008,0.02,0.008,0.175,8.6,0.004,30.2,0.111,230,3.2,19,0.4,0.225,0.006,0.012
S98_02494,22.642,89.814,1996,STW,20,Khulna,Bagerhat,Bagerhat Sadar,Bemarta,Chaitali,301,0.04,0.1,0.502,264,0.008,0.02,0.008,16,9.7,0.004,80.5,0.298,299,0.6,16.6,1.5,1.04,0.006,0.037
S98_02495,23.402,89.602,1984,DTW,98,Khulna,Magura,Mohammadpur (M),Mohammadpur,Mohammadpur,61,0.04,0.02,0.076,100,0.008,0.02,0.008,0.747,2.6,0.012,33.3,1.48,16.8,0.3,20.9,0.2,0.453,0.006,0.008
S98_02496,23.17,89.042,1973,STW,45,Khulna,Jessore,Jhikargachha,Magura,Mohammadpur,111,0.04,0.02,0.391,145,0.008,0.02,0.008,4.11,3.8,0.003,33.1,0.638,21.6,0.3,14.5,14.6,0.445,0.006,0.009
S98_02497,23.042,89.391,1979,STW,50,Khulna,Jessore,Abhaynagar,Paurashava,Noapara,136,0.04,0.06,0.064,115,0.008,0.02,0.008,3.93,2.1,0.008,35.7,0.233,33.6,0.3,14.7,0.2,0.558,0.006,0.009
S98_02498,23.27,89.246,1982,STW,51,Khulna,Jessore,Jessore Sadar,Labutala,Khajura,9,0.04,0.02,0.136,91.5,0.008,0.02,0.008,2.29,2.8,0.003,16.7,0.084,10.2,0.2,15.1,0.2,0.224,0.006,0.008
S98_02499,23.419,88.821,1984,DTW,94,Khulna,Chuadanga,Jiban Nagar,Jiban Nagar,Jiban Nagar,30,0.04,0.03,0.248,114,0.008,0.02,0.008,3.43,2.9,0.004,24.5,0.124,17.2,0.4,17,0.2,0.259,0.006,0.01
S98_02500,23.399,88.977,1986,STW,44,Khulna,Jhenaidah,Kotchandpur,Baluhar,Baluhar,45,0.04,0.03,0.125,105,0.008,0.02,0.008,1.4,5.6,0.003,23.5,0.225,16.4,0.5,12.3,17.5,0.361,0.006,0.008
S98_02501,23.734,89.208,1996,Tara,47,Khulna,Jhenaidah,Shailkupa,Kancherkol,Kancherkol,6,0.04,0.03,0.041,94.7,0.008,0.02,0.008,0.023,1.2,0.006,23.6,1.5,24.6,0.2,20.5,0.2,0.377,0.006,0.014
S98_02502,23.611,89.021,1996,STW,39,Khulna,Jhenaidah,Harinakunda,Daulatpur,Parbatpur,71,0.04,0.02,0.122,131,0.008,0.02,0.008,4.71,2.8,0.005,31.6,0.462,21.4,0.5,16.9,0.2,0.307,0.006,0.008
S98_02503,23.863,89.244,1991,Tara,40,Khulna,Kushtia,Kumarkhali,"Paurashova, W04",Durgapur,6,0.04,0.02,0.084,119,0.008,0.02,0.008,0.025,1.1,0.004,32.6,0.474,36.7,0.2,17.7,0.2,0.43,0.006,0.014
S98_02504,22.722,89.847,1997,STW,18,Khulna,Bagerhat,Kachua (B),Dhopakhali,Kamarghati,59,0.04,0.07,0.568,275,0.008,0.02,0.008,11.2,7.6,0.005,76.6,0.145,236,1.1,18,49.5,1.03,0.006,0.026
S98_02505,22.55,89.59,1996,STW,18,Khulna,Bagerhat,Mongla,Buridanga,Bidyarbaondiraj,6,0.05,0.91,0.45,79.6,0.008,0.02,0.008,2.88,31.6,0.009,76.8,0.306,988,0.6,16.1,1.4,0.61,0.007,0.023
S98_02506,23.121,89.649,1974,STW,50,Khulna,Narail,Lohagara (N),Dighalia,Dighalia,152,0.04,0.04,0.28,86.6,0.008,0.02,0.008,3.04,10.6,0.003,32.9,0.105,24.2,1.8,15.5,0.2,0.435,0.006,0.021
S98_02507,23.589,89.397,1978,STW,50,Khulna,Magura,Sreepur (M),Sreepur,Madanpur,6,0.04,0.05,0.123,88.3,0.008,0.02,0.008,0.096,3,0.015,28.2,0.76,67.5,0.7,17.6,0.7,0.406,0.006,0.013
S98_02508,24.009,88.876,1998,Tara,100,Khulna,Kushtia,Daulatpur (Ku),Daulatpur,Daulatpur,6,0.04,0.02,0.126,115,0.008,0.02,0.008,0.691,3.9,0.005,27.8,1.1,16.5,0.2,18.1,0.6,0.356,0.006,0.011
S98_02509,23.769,89.256,1989,STW,39,Khulna,Kushtia,Khoksa,Khoksa,Bhabanipur,6,0.04,0.03,0.054,97,0.036,0.72,0.008,8.43,1.3,0.005,33.3,1.01,41.7,0.4,18,1.4,0.458,0.008,0.011
S98_02510,24.018,89.007,1989,STW,39,Khulna,Kushtia,Bheramara,Bahirchar,Bahirchar west,6,0.04,0.03,0.121,68.7,0.008,0.02,0.008,0.082,2.6,0.003,16.4,0.898,14.2,0.2,13.2,4.6,0.179,0.006,0.011
S98_02511,23.07,89.559,1998,STW,63,Khulna,Narail,Kalia,Chanchari,Banagram,6,0.04,0.08,0.071,99.1,0.036,0.02,0.008,0.059,1.8,0.029,43.2,1.43,598,0.5,16.1,2,0.541,0.006,0.02
S98_02512,23.12,88.974,1963,STW,22,Khulna,Jessore,Sharsha,Nizampur,Amtala,54,0.04,0.02,0.117,78.1,0.008,0.02,0.008,2.9,2.5,0.003,18.7,0.379,9.2,1,13.8,0.2,0.22,0.006,0.008
S98_02513,22.906,89.216,1985,STW,49,Khulna,Jessore,Keshabpur,Keshabpur,Altapol,166,0.04,0.07,0.236,82.5,0.008,0.02,0.008,3.9,4.6,0.004,29.8,0.039,52.7,1.3,18.9,0.2,0.378,0.006,0.008
S98_02514,23.603,88.774,1996,STW,40,Khulna,Chuadanga,Damurhuda,Damurhuda,Dasami,50,0.04,0.02,0.244,111,0.008,0.02,0.008,4.56,3.3,0.004,24.1,0.472,24.4,0.5,13.9,1.2,0.323,0.006,0.008
S98_02515,23.678,88.869,1983,STW,39,Khulna,Chuadanga,Chuadanga Sadar,Mominpur,Boalmari,41,0.04,0.01,0.157,86.9,0.008,0.02,0.008,2.08,3.6,0.003,15.8,0.5,9.1,0.2,11.7,0.2,0.193,0.006,0.01
S98_02516,23.781,88.734,1994,STW,39,Khulna,Meherpur,Gangni,Dhankhola,Chitla,33,0.04,0.02,0.234,114,0.008,0.02,0.008,3.23,9.3,0.003,22,0.62,11.3,0.5,12.3,14.6,0.278,0.006,0.009
S98_02517,23.404,89.221,1997,STW,49,Khulna,Jhenaidah,Kaliganj (J),Kola,Khalkula,55,0.04,0.05,0.095,97.9,0.008,0.02,0.008,6.16,3.3,0.003,37.7,0.292,37.7,0.9,18.5,0.2,0.5,0.006,0.01
S98_02518,23.181,89.543,1969,STW,54,Khulna,Narail,Narail Sadar,Auria,Taltala,198,0.04,0.13,0.141,72.9,0.008,0.02,0.008,5.92,2.7,0.004,33.8,0.168,344,0.7,13.8,0.2,0.441,0.006,0.111
S98_02519,23.26,89.024,1993,DTW,118,Khulna,Jessore,Chaugachha,Chaugachha,Chaugachha,49,0.04,0.02,0.122,75.4,0.008,0.02,0.008,1.68,2.6,0.005,17.9,0.171,8.4,0.6,14.6,0.2,0.242,0.006,0.019
S98_02520,22.963,89.23,1993,STW,67,Khulna,Jessore,Manirampur,Shyamkur,Aminpur,168,0.04,0.06,0.406,127,0.008,0.02,0.008,3.7,8.2,0.005,60.7,0.099,41.5,1.1,18.3,0.2,0.762,0.006,0.008
S98_02521,23.222,89.408,1984,STW,50,Khulna,Jessore,Bagher Para,Dohakula,Mamudanipur,152,0.04,0.03,0.226,106,0.008,0.02,0.008,3.93,7,0.003,25.2,0.262,20.9,1,15.4,0.2,0.407,0.006,0.008
S98_02522,23.76,88.942,1982,DTW,82,Khulna,Chuadanga,Alamdanga,Paurashava W01,Gobindapur,35,0.04,0.02,0.129,91.7,0.008,0.02,0.008,0.559,3.5,0.004,18.8,0.723,9.9,0.4,15.2,0.7,0.25,0.006,0.223
S98_02523,23.352,88.918,1995,DTW,123,Khulna,Jhenaidah,Moheshpur,Pourasava w02,Moheshpur,74,0.04,0.01,0.124,78.6,0.008,0.02,0.008,1.12,3.2,0.003,15.3,0.184,8.9,0.8,14.7,6.7,0.224,0.006,0.12
