Year,Month,Day,Flow
2013,10,5,3470
2013,10,6,4110
2013,10,7,5200
2013,10,8,7360
2013,10,9,5590
2013,10,10,5260
2013,10,11,5180
2013,10,12,4540
2013,10,13,4370
2013,10,14,4340
2013,10,15,4370
2013,10,16,4060
2013,10,17,4110
2013,10,18,4520
2013,10,19,4440
2013,10,20,4590
2013,10,21,4540
2013,10,22,4620
2013,10,23,4040
2013,10,24,4e3
2013,10,25,3840
2013,10,26,3830
2013,10,27,3690
2013,10,28,3960
2013,10,29,4100
2013,10,30,4410
2013,10,31,4190
2013,11,1,6210
2013,11,2,9450
2013,11,3,8680
2013,11,4,8090
2013,11,5,6650
2013,11,6,5880
2013,11,7,5970
2013,11,8,8650
2013,11,9,9380
2013,11,10,9230
2013,11,11,9160
2013,11,12,8930
2013,11,13,8500
2013,11,14,8170
2013,11,15,8250
2013,11,16,7970
2013,11,17,7860
2013,11,18,7820
2013,11,19,8610
2013,11,20,9370
2013,11,21,9430
2013,11,22,8160
2013,11,23,7400
2013,11,24,6330
2013,11,25,5290
2013,11,26,6740
2013,11,27,9390
2013,11,28,14500
2013,11,29,11300
2013,11,30,9790
2013,12,1,9590
2013,12,2,9970
2013,12,3,9940
2013,12,4,9510
2013,12,5,9560
2013,12,6,9900
2013,12,7,10900
2013,12,8,9960
2013,12,9,8950
2013,12,10,8580
2013,12,11,8090
2013,12,12,6830
2013,12,13,5260
2013,12,14,5140
2013,12,15,6280
2013,12,16,5960
2013,12,17,6610
2013,12,18,6430
2013,12,19,5910
2013,12,20,6270
2013,12,21,7610
2013,12,22,12e3
2013,12,23,16900
2013,12,24,17100
2013,12,25,13400
2013,12,26,11100
2013,12,27,11600
2013,12,28,10800
2013,12,29,10400
2013,12,30,13300
2013,12,31,11600
2014,1,1,10400
2014,1,2,9330
2014,1,3,8400
2014,1,4,9840
2014,1,5,11e3
2014,1,6,12800
2014,1,7,22700
2014,1,8,19800
2014,1,9,16900
2014,1,10,15200
2014,1,11,13300
2014,1,12,12300
2014,1,13,19400
2014,1,14,18400
2014,1,15,19600
2014,1,16,16e3
2014,1,17,13e3
2014,1,18,12900
2014,1,19,12600
2014,1,20,12300
2014,1,21,10700
2014,1,22,10700
2014,1,23,10400
2014,1,24,10800
2014,1,25,11800
2014,1,26,12800
2014,1,27,12500
2014,1,28,12300
