Year,Month,Precip_inches,state_cd
1917,2,5.52,AL
1917,3,9.13,AL
1917,4,3.64,AL
1917,5,2.44,AL
1917,6,3.3,AL
1917,7,6.1,AL
1917,8,5.84,AL
1917,9,6.1,AL
1917,10,1.45,AL
1917,11,1.47,AL
1917,12,1.78,AL
1918,1,7.28,AL
1918,2,2.33,AL
1918,3,0.85,AL
1918,4,7.47,AL
1918,5,2.63,AL
1918,6,4.11,AL
1918,7,3.86,AL
1918,8,3.6,AL
1918,9,4.11,AL
1918,10,8.37,AL
1918,11,5.16,AL
1918,12,6,AL
1919,1,5.67,AL
1919,2,7.03,AL
1919,3,7.25,AL
1919,4,3.3,AL
1919,5,6.44,AL
1919,6,4.36,AL
1919,7,6.91,AL
1919,8,7.37,AL
1919,9,0.92,AL
1919,10,4.66,AL
1919,11,5.03,AL
1919,12,7.04,AL
1920,1,6.54,AL
1920,2,4.15,AL
1920,3,7.44,AL
1920,4,9.34,AL
1920,5,5.06,AL
1920,6,4.54,AL
1920,7,5.13,AL
1920,8,6.85,AL
1920,9,3.03,AL
1920,10,1.03,AL
1920,11,3.09,AL
1920,12,8.04,AL
1921,1,3.22,AL
1921,2,5.39,AL
1921,3,5.01,AL
1921,4,6.85,AL
1921,5,2.1,AL
1921,6,2.02,AL
1921,7,5.05,AL
1921,8,4.16,AL
1921,9,2.54,AL
1921,10,2.24,AL
1921,11,3.42,AL
1921,12,3.44,AL
1922,1,6.93,AL
1922,2,6.03,AL
1922,3,10.14,AL
1922,4,4.38,AL
1922,5,6.76,AL
1922,6,3.88,AL
1922,7,4.24,AL
1922,8,3.01,AL
1922,9,1.69,AL
1922,10,2.35,AL
1922,11,1.94,AL
1922,12,7.2,AL
1923,1,4.27,AL
1923,2,5.84,AL
1923,3,6.49,AL
1923,4,5.93,AL
1923,5,8.85,AL
1923,6,3.95,AL
1923,7,5.2,AL
1923,8,6.55,AL
1923,9,1.22,AL
1923,10,2.45,AL
1923,11,5.2,AL
1923,12,5.35,AL
1924,1,6.7,AL
1924,2,4.65,AL
1924,3,3.31,AL
1924,4,5.7,AL
1924,5,4.56,AL
1924,6,4.99,AL
1924,7,3.75,AL
1924,8,2.99,AL
1924,9,3.27,AL
1924,10,0.3,AL
1924,11,0.26,AL
1924,12,7.22,AL
1925,1,10.08,AL
1925,2,3.44,AL
1925,3,3.02,AL
1925,4,1.53,AL
1925,5,2.45,AL
1925,6,2.36,AL
1925,7,4.9,AL
1925,8,1.81,AL
1925,9,2.73,AL
1925,10,6.03,AL
1925,11,4.59,AL
1925,12,3.61,AL
1926,1,7.96,AL
1926,2,4.39,AL
1926,3,6.39,AL
1926,4,2.35,AL
1926,5,3.16,AL
1926,6,4.78,AL
1926,7,5.67,AL
1926,8,6.97,AL
1926,9,4.2,AL
1926,10,2.34,AL
1926,11,5.07,AL
1926,12,6.2,AL
1927,1,1.27,AL
1927,2,6.43,AL
1927,3,5.27,AL
1927,4,2.29,AL
1927,5,2.8,AL
1927,6,5.4,AL
1927,7,4.17,AL
1927,8,3.72,AL
1927,9,1.41,AL
1927,10,2.21,AL
1927,11,3.74,AL
1927,12,8.21,AL
1928,1,1.52,AL
1928,2,3.63,AL
1928,3,6.19,AL
1928,4,10.12,AL
1928,5,3.77,AL
1928,6,10.52,AL
1928,7,5.19,AL
1928,8,4.56,AL
1928,9,2.91,AL
1928,10,3.45,AL
1928,11,2.47,AL
1928,12,2.2,AL
1929,1,5.82,AL
1929,2,8.87,AL
1929,3,14.81,AL
1929,4,4.5,AL
1929,5,5.85,AL
1929,6,4.76,AL
1929,7,3.65,AL
1929,8,2.07,AL
1929,9,5.64,AL
1929,10,5.17,AL
1929,11,10.2,AL
1929,12,3.73,AL
1930,1,4.33,AL
1930,2,2.4,AL
1930,3,5.58,AL
1930,4,1.47,AL
1930,5,4.65,AL
1930,6,1.76,AL
