Largest rivers by discharge (source: https://en.wikipedia.org/wiki/List_of_rivers_by_discharge),,,,,,
No,Continent,River,Length (km),Drainage area (km2),Average discharge (m3/s),Outflow
,,,,,,
No,Continent,River,Length_km,Drainage_area_km2,Discharge_m3_s,Outflow_location
107,S. America,Tietê,1150,150000,2500,Paraná River
108,Africa,Sankuru,1200,156000,2500,Kasai River
109,Eurasia,Mahakam,980,77100,2500,Makassar Strait
110,Africa,Sangha,790,213400,2471,Congo River
111,Eurasia,Songhua / Sungari,1434,557180,2463,Amur River
112,S. America,Javari,1184,90000,2463,Amazon River
113,Eurasia,Neva,74,281000,2445,Baltic Sea
114,N. America,Missouri,3767,1371010,2445,Mississippi River
115,N. America,Liard,1115,277100,2434,Mackenzie River
116,S. America,Rio Grande (Paraná River),1360,143000,2400,Paraná River
118,N. America,Nelson,2575,982900,2370,Hudson Bay
119,S. America,Cauca,1180,59840,2364,Magdalena River
120,S. America,Yarí,620,31650,2360,Japurá River
121,S. America,Urubamba,724,60300,2330,Ucayali River
122,Europe,Rhine,1233,198735,2330,North Sea
123,S. America,Apure,1038,121400,2300,Orinoco River
124,Eurasia,Xiang,856,96400,2288,Yangtze River
125,Asia,Krishna River,1400,258948,2213,Bay of Bengal
126,S. America,San Juan,380,15000,2200,Pacific Ocean
127,Eurasia,Vitim,1978,227000,2200,Lena River
128,Eurasia,Koshi,729,69300,2166,Ganges River
129,Eurasia,Yuan,864,89163,2158,Yangtze River
130,Eurasia,Han,1532,174300,2156,Yangtze River
131,N. America,St. Marys,120,127700,2135,Lake Huron
132,Eurasia,Jialing,1119,160000,2120,Yangtze River
133,Eurasia,Mahanadi,858,141600,2119,Bay of Bengal
134,N. America,Peace,1923,306000,2110,Slave River
135,S. America,Essequibo,1014,69300,2104,Atlantic Ocean
136,S. America,Ventuari,520,40000,2000,Orinoco river
138,S. America,Vichada,580,25000,2000,Orinoco River
,,,,,,
