Date,Year,Month,Precip_inches,Anomaly_inches,state_cd
190610,1906,10,3.52,0.69,AL
190611,1906,11,2.32,-1.53,AL
190612,1906,12,4.05,-1.1,AL
190701,1907,01,2.21,-2.97,AL
190702,1907,02,4.51,-0.67,AL
190703,1907,03,3.18,-2.98,AL
190704,1907,04,6.66,1.85,AL
190705,1907,05,8.21,3.97,AL
190706,1907,06,3.13,-1.15,AL
190707,1907,07,5.23,-0.21,AL
190708,1907,08,3.76,-0.58,AL
190709,1907,09,5.98,2.2,AL
190710,1907,10,1.42,-1.41,AL
190711,1907,11,6.36,2.51,AL
190712,1907,12,6.58,1.43,AL
190801,1908,01,4.19,-0.99,AL
190802,1908,02,6.87,1.69,AL
190803,1908,03,4.7,-1.46,AL
190804,1908,04,6.3,1.49,AL
190805,1908,05,5.5,1.26,AL
190806,1908,06,3.34,-0.94,AL
190807,1908,07,5.29,-0.15,AL
190808,1908,08,3.64,-0.7,AL
190809,1908,09,2.23,-1.55,AL
190810,1908,10,1.72,-1.11,AL
190811,1908,11,1.66,-2.19,AL
190812,1908,12,4.37,-0.78,AL
190901,1909,01,2.05,-3.13,AL
190902,1909,02,7.59,2.41,AL
190903,1909,03,8.89,2.73,AL
190904,1909,04,6.18,1.37,AL
190905,1909,05,6.34,2.1,AL
190906,1909,06,7.92,3.64,AL
190907,1909,07,4.91,-0.53,AL
190908,1909,08,3.54,-0.8,AL
190909,1909,09,2.95,-0.83,AL
190910,1909,10,1.95,-0.88,AL
190911,1909,11,1.26,-2.59,AL
190912,1909,12,5.04,-0.11,AL
191001,1910,01,3.53,-1.65,AL
191002,1910,02,5.47,0.29,AL
191003,1910,03,1.16,-5,AL
191004,1910,04,3.53,-1.28,AL
191005,1910,05,3.85,-0.39,AL
191006,1910,06,7.16,2.88,AL
191007,1910,07,7.26,1.82,AL
191008,1910,08,2.95,-1.39,AL
191009,1910,09,2.35,-1.43,AL
191010,1910,10,3.41,0.58,AL
191011,1910,11,2.19,-1.66,AL
191012,1910,12,3.33,-1.82,AL
191101,1911,01,4.49,-0.69,AL
191102,1911,02,3.26,-1.92,AL
191103,1911,03,2.5,-3.66,AL
191104,1911,04,7.65,2.84,AL
191105,1911,05,2.86,-1.38,AL
191106,1911,06,3.93,-0.35,AL
191107,1911,07,5.93,0.49,AL
191108,1911,08,5.3,0.96,AL
191109,1911,09,2.56,-1.22,AL
191110,1911,10,3.19,0.36,AL
191111,1911,11,4.54,0.69,AL
191112,1911,12,7.97,2.82,AL
191201,1912,01,5.93,0.75,AL
191202,1912,02,4.83,-0.35,AL
191203,1912,03,9.55,3.39,AL
191204,1912,04,10.08,5.27,AL
191205,1912,05,3.64,-0.6,AL
191206,1912,06,5.03,0.75,AL
191207,1912,07,5.22,-0.22,AL
191208,1912,08,6.23,1.89,AL
191209,1912,09,4.55,0.77,AL
191210,1912,10,2.76,-0.07,AL
191211,1912,11,2.11,-1.74,AL
191212,1912,12,6.63,1.48,AL
191301,1913,01,6.25,1.07,AL
191302,1913,02,5.7,0.52,AL
191303,1913,03,9.22,3.06,AL
191304,1913,04,2.5,-2.31,AL
191305,1913,05,3.48,-0.76,AL
191306,1913,06,3.72,-0.56,AL
191307,1913,07,5.22,-0.22,AL
191308,1913,08,2.6,-1.74,AL
191309,1913,09,6.61,2.83,AL
191310,1913,10,2.26,-0.57,AL
191311,1913,11,1.3,-2.55,AL
191312,1913,12,3.29,-1.86,AL
191401,1914,01,2.14,-3.04,AL
191402,1914,02,4.24,-0.94,AL
191403,1914,03,3.63,-2.53,AL
191404,1914,04,3.96,-0.85,AL
191405,1914,05,1.25,-2.99,AL
191406,1914,06,2.76,-1.52,AL
191407,1914,07,4.18,-1.26,AL
191408,1914,08,6.71,2.37,AL
191409,1914,09,4.7,0.92,AL
191410,1914,10,2.84,0.01,AL
191411,1914,11,4.01,0.16,AL
191412,1914,12,4.91,-0.24,AL
191501,1915,01,6.02,0.84,AL
191502,1915,02,4.93,-0.25,AL
191503,1915,03,3.23,-2.93,AL
191504,1915,04,0.47,-4.34,AL
191505,1915,05,6.19,1.95,AL
191506,1915,06,3.8,-0.48,AL
191507,1915,07,5.19,-0.25,AL
191508,1915,08,5.03,0.69,AL
191509,1915,09,4.11,0.33,AL
191510,1915,10,4.86,2.03,AL
191511,1915,11,3.26,-0.59,AL
191512,1915,12,6.08,0.93,AL
191601,1916,01,4.02,-1.16,AL
191602,1916,02,4.01,-1.17,AL
191603,1916,03,2.94,-3.22,AL
191604,1916,04,2.86,-1.95,AL
191605,1916,05,4.69,0.45,AL
191606,1916,06,3.49,-0.79,AL
191607,1916,07,17.59,12.15,AL
191608,1916,08,3.49,-0.85,AL
191609,1916,09,2.16,-1.62,AL
191610,1916,10,1.77,-1.06,AL
191611,1916,11,2.8,-1.05,AL
191612,1916,12,4.71,-0.44,AL
191701,1917,01,6.63,1.45,AL
191702,1917,02,5.52,0.34,AL
191703,1917,03,9.13,2.97,AL
191704,1917,04,3.64,-1.17,AL
191705,1917,05,2.44,-1.8,AL
191706,1917,06,3.3,-0.98,AL
191707,1917,07,6.1,0.66,AL
191708,1917,08,5.84,1.5,AL
191709,1917,09,6.1,2.32,AL
191710,1917,10,1.45,-1.38,AL
191711,1917,11,1.47,-2.38,AL
191712,1917,12,1.78,-3.37,AL
191801,1918,01,7.28,2.1,AL
191802,1918,02,2.33,-2.85,AL
191803,1918,03,0.85,-5.31,AL
191804,1918,04,7.47,2.66,AL
191805,1918,05,2.63,-1.61,AL
191806,1918,06,4.11,-0.17,AL
191807,1918,07,3.86,-1.58,AL
191808,1918,08,3.6,-0.74,AL
191809,1918,09,4.11,0.33,AL
191810,1918,10,8.37,5.54,AL
191811,1918,11,5.16,1.31,AL
191812,1918,12,6,0.85,AL
191901,1919,01,5.67,0.49,AL
191902,1919,02,7.03,1.85,AL
191903,1919,03,7.25,1.09,AL
191904,1919,04,3.3,-1.51,AL
191905,1919,05,6.44,2.2,AL
191906,1919,06,4.36,0.08,AL
191907,1919,07,6.91,1.47,AL
191908,1919,08,7.37,3.03,AL
191909,1919,09,0.92,-2.86,AL
191910,1919,10,4.66,1.83,AL
191911,1919,11,5.03,1.18,AL
191912,1919,12,7.04,1.89,AL
192001,1920,01,6.54,1.36,AL
192002,1920,02,4.15,-1.03,AL
192003,1920,03,7.44,1.28,AL
192004,1920,04,9.34,4.53,AL
192005,1920,05,5.06,0.82,AL
192006,1920,06,4.54,0.26,AL
192007,1920,07,5.13,-0.31,AL
192008,1920,08,6.85,2.51,AL
192009,1920,09,3.03,-0.75,AL
192010,1920,10,1.03,-1.8,AL
192011,1920,11,3.09,-0.76,AL
192012,1920,12,8.04,2.89,AL
192101,1921,01,3.22,-1.96,AL
192102,1921,02,5.39,0.21,AL
192103,1921,03,5.01,-1.15,AL
192104,1921,04,6.85,2.04,AL
192105,1921,05,2.1,-2.14,AL
192106,1921,06,2.02,-2.26,AL
192107,1921,07,5.05,-0.39,AL
192108,1921,08,4.16,-0.18,AL
192109,1921,09,2.54,-1.24,AL
192110,1921,10,2.24,-0.59,AL
192111,1921,11,3.42,-0.43,AL
192112,1921,12,3.44,-1.71,AL
192201,1922,01,6.93,1.75,AL
192202,1922,02,6.03,0.85,AL
192203,1922,03,10.14,3.98,AL
192204,1922,04,4.38,-0.43,AL
192205,1922,05,6.76,2.52,AL
192206,1922,06,3.88,-0.4,AL
192207,1922,07,4.24,-1.2,AL
192208,1922,08,3.01,-1.33,AL
192209,1922,09,1.69,-2.09,AL
192210,1922,10,2.35,-0.48,AL
192211,1922,11,1.94,-1.91,AL
192212,1922,12,7.2,2.05,AL
192301,1923,01,4.27,-0.91,AL
192302,1923,02,5.84,0.66,AL
192303,1923,03,6.49,0.33,AL
192304,1923,04,5.93,1.12,AL
192305,1923,05,8.85,4.61,AL
192306,1923,06,3.95,-0.33,AL
192307,1923,07,5.2,-0.24,AL
192308,1923,08,6.55,2.21,AL
192309,1923,09,1.22,-2.56,AL
192310,1923,10,2.45,-0.38,AL
192311,1923,11,5.2,1.35,AL
