 -80.78870,  40.47827
 -80.77745,  40.47599
 -80.75912,  40.47373
 -80.72953,  40.46005
 -80.70956,  40.47612
 -80.71539,  40.49860
 -80.72970,  40.51538
 -80.74809,  40.52102
 -80.75375,  40.54349
 -80.74483,  40.56599
 -80.74329,  40.58847
 -80.75199,  40.61094
 -80.75289,  40.63343
 -80.75976,  40.65128
 -80.76379,  40.65588
 -80.75981,  40.66641
 -80.75861,  40.67838
 -80.75988,  40.68481
 -80.77001,  40.70083
 -80.77676,  40.72330
 -80.77615,  40.74578
 -80.77248,  40.76827
 -80.76022,  40.78202
 -80.75780,  40.79079
 -80.75964,  40.81326
 -80.74510,  40.83578
 -80.73075,  40.85200
 -80.72731,  40.85829
 -80.71468,  40.88080
 -80.71388,  40.90328
 -80.71609,  40.92576
 -80.71249,  40.94825
 -80.70133,  40.96515
 -80.67157,  40.97036
 -80.66162,  40.97080
 -80.64180,  40.97372
 -80.61202,  40.97166
 -80.58225,  40.97810
 -80.55247,  40.98920
 -80.52270,  40.98915
 -80.50600,  40.99337
 -80.49290,  41.01011
 -80.47520,  41.01584
 -80.46310,  41.01913
 -80.43330,  41.01937
 -80.42001,  41.01581
 -80.40352,  41.01091
 -80.38943,  40.99329
 -80.37380,  40.97573
 -80.36701,  40.97078
 -80.35921,  40.94829
 -80.34411,  40.94348
 -80.32023,  40.92575
 -80.31445,  40.91194
 -80.28467,  40.92019
 -80.25492,  40.91753
 -80.23838,  40.90309
 -80.22941,  40.88058
 -80.22535,  40.87782
 -80.20007,  40.88051
 -80.19559,  40.88280
 -80.19200,  40.88048
 -80.16592,  40.87191
 -80.14079,  40.85785
 -80.13632,  40.84731
 -80.12573,  40.83531
 -80.10672,  40.82864
 -80.08349,  40.81267
 -80.08244,  40.79019
 -80.07742,  40.76833
 -80.07668,  40.76768
 -80.07742,  40.76677
 -80.08256,  40.74522
 -80.07990,  40.72273
 -80.07828,  40.70024
 -80.07800,  40.68126
 -80.07362,  40.67774
 -80.04839,  40.67667
 -80.03040,  40.65508
