00429, -64.7250,  43.8624,    5320.
00432, -63.3967,  52.4116,    6111.
00435, -67.3356,  47.5505,     939.
00438, -70.1699,  48.7155,      39.
00441, -69.4599,  42.7352,     528.
00444, -73.1689,  43.5586,     548.
00447, -69.2964,  43.8182,     264.
00450, -67.7449,  44.6809,     836.
00453, -68.5947,  42.5774,     685.
00456, -67.2403,  42.7627,    1101.
00459, -73.2492,  41.2011,      71.
00462, -72.4483,  44.8749,     238.
00465, -66.6765,  48.9055,    1441.
00468, -69.2502,  44.4410,    2022.
00471, -64.9998,  46.6794,    3371.
00474, -69.0602,  40.9445,    1715.
00477, -69.3991,  44.3018,     617.
00480, -73.0810,  42.2768,      41.
00483, -68.6085,  51.0793,    2917.
00486, -64.8027,  47.5912,    1956.
00489, -66.1853,  49.8923,    3211.
00492, -69.1371,  45.8723,     729.
00495, -64.0924,  48.6813,    2419.
00498, -65.2420,  47.7953,    1401.
00501, -68.2137,  45.5457,     840.
00504, -69.4657,  45.8501,      48.
00507, -63.7245,  48.6797,    6838.
00510, -68.7163,  44.6703,    1243.
00513, -64.1198,  46.5202,    6281.
00516, -65.5348,  46.1251,    1848.
00519, -65.1675,  44.2178,    6222.
00522, -71.1577,  43.2535,      46.
00525, -64.2262,  49.7779,    7050.
00528, -68.9593,  46.0213,    1692.
00531, -67.5557,  48.8510,    1046.
00534, -69.6743,  41.5480,    1008.
00537, -63.9061,  47.4179,    5529.
00540, -65.2636,  44.7633,    2746.
00543, -64.0554,  46.9553,    5032.
00546, -68.9791,  51.8208,     145.
00549, -71.9133,  44.1822,     468.
00552, -73.4973,  46.1974,      96.
00555, -64.1311,  45.4442,    2753.
00558, -70.6234,  41.6840,     220.
00561, -67.8969,  46.8517,    1274.
00564, -65.6133,  43.3184,    2695.
00567, -69.9846,  39.5497,    2435.
00570, -65.7246,  44.0275,    2347.
00573, -64.3381,  51.4100,    3318.
00576, -72.2943,  45.8773,     146.
00579, -72.8929,  46.2273,     184.
00582, -65.1974,  47.9498,    2765.
00585, -70.2409,  46.5347,     290.
00588, -70.6278,  44.0132,     338.
00591, -64.9374,  44.8448,    3712.
00594, -71.5969,  45.9619,     608.
00597, -70.4221,  39.7267,     940.
00600, -67.9266,  40.6536,    3160.
00603, -67.4361,  42.8401,      80.
00606, -68.1059,  42.7467,      56.
00609, -63.9214,  47.3093,    5075.
00612, -64.6966,  44.7736,    4285.
00615, -70.9913,  43.9897,     382.
00618, -70.3521,  41.8643,     227.
00621, -71.8534,  45.3011,    1260.
00624, -73.3448,  42.4638,     128.
00627, -69.1095,  42.2812,    1339.
00630, -73.2155,  45.8020,     683.
00633, -64.4660,  49.2422,    6664.
00636, -68.1133,  41.5154,      40.
