C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-328965,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,50-100,14
C-328951,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,60-100,9.9
C-328952,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,30-100,12.6
C-328842,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,60-100,13.7
C-328880,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,60-70,17
C-328837,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,60-100,10.5
C-328896,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,25-100,10.6
C-328841,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,50-100,15.9
C-329009,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,60-100,18
C-328881,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,60-100,13.5
C-329012,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,70-100,9.3
C-328958,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,70-100,15.1
C-329021,2704,AL,32.9905,-86.651,02/23/09,Forested Upland,Mixed Forest,30-60,15
C-328823,2768,AL,32.5952,-85.5658,02/20/09,Planted/Cultivated,Pasture/Hay,80-100,25.4
C-328950,2848,AL,32.392,-87.4686,02/21/09,Developed,Low Intensity Residential,70-100,23.6
C-329013,2960,AL,34.0736,-87.9234,02/25/09,Forested Upland,Deciduous Forest,60-100,9.9
C-328821,3052,AL,34.9852,-87.5194,02/25/09,Planted/Cultivated,Pasture/Hay,30-100,16.1
C-329008,3168,AL,31.3746,-88.0048,02/17/09,Developed,Low Intensity Residential,60-100,14.4
C-328848,3472,AL,33.3123,-87.8587,02/21/09,Planted/Cultivated,Pasture/Hay,50-75,6.1
C-329011,3536,AL,33.6629,-85.66,02/24/09,Planted/Cultivated,Fallow,80-100,19.9
C-328963,3616,AL,30.8919,-88.0869,02/17/09,Developed,Low Intensity Residential,85-100,2.9
C-328843,3728,AL,32.6467,-86.5986,02/23/09,Planted/Cultivated,Pasture/Hay,60-100,5.2
C-328889,3792,AL,33.0284,-85.6592,02/23/09,Developed,Low Intensity Residential,60-100,21.3
C-328852,3872,AL,31.9654,-87.0744,02/20/09,Planted/Cultivated,Pasture/Hay,60-100,13
C-328854,3984,AL,34.5247,-86.4085,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,13.2
C-328894,4192,AL,31.0277,-87.061,02/18/09,Developed,Low Intensity Residential,20-100,13.3
C-328883,4304,AL,34.0374,-87.2118,02/26/09,Forested Upland,Evergreen Forest,50-100,3.6
C-328844,4384,AL,31.4932,-86.1309,02/18/09,Planted/Cultivated,Pasture/Hay,60-100,9.1
C-328855,4752,AL,33.491,-87.5339,02/26/09,Planted/Cultivated,Fallow,75-100,20.9
C-328832,4816,AL,32.8294,-86.1011,02/23/09,Developed,Low Intensity Residential,5-100,18.7
C-328845,5008,AL,34.3422,-87.9365,02/25/09,Developed,Low Intensity Residential,30-50,14.7
C-328959,5328,AL,34.3654,-87.0215,02/26/09,Planted/Cultivated,Pasture/Hay,60-100,39.4
C-328961,5408,AL,32.0066,-85.1349,02/19/09,Developed,Low Intensity Residential,60-100,5.4
C-328899,5472,AL,32.4912,-87.8568,02/21/09,Developed,Low Intensity Residential,60-100,30.5
C-328887,5520,AL,33.2135,-88.2789,02/21/09,Planted/Cultivated,Urban/Recreational Grasses,50-100,10.8
C-328824,5776,AL,32.9087,-87.3015,02/21/09,Forested Upland,Mixed Forest,75-100,5.1
C-329022,5920,AL,31.44,-87.273,02/18/09,Planted/Cultivated,Pasture/Hay,10-100,10.3
C-328954,6240,AL,30.6595,-87.7096,02/17/09,Developed,Low Intensity Residential,70-100,16.7
C-329018,6432,AL,32.1404,-85.8959,02/20/09,Planted/Cultivated,Pasture/Hay,50-100,14.2
C-329014,6544,AL,33.0422,-87.5904,02/21/09,Planted/Cultivated,Pasture/Hay,70-100,9.8
C-329017,6688,AL,30.6134,-88.2555,02/17/09,Developed,Low Intensity Residential,35-100,8.3
C-328888,6800,AL,32.8959,-86.3391,02/23/09,Forested Upland,Evergreen Forest,40-100,19.6
C-328895,6864,AL,32.5015,-85.1717,02/19/09,Developed,Low Intensity Residential,60-100,12.3
C-328893,6944,AL,31.9466,-87.2578,02/20/09,Developed,Low Intensity Residential,60-100,12.9
C-328822,7056,AL,34.0191,-87.8219,02/25/09,Developed,Low Intensity Residential,80-100,9.3
C-328886,7264,AL,31.8158,-88.3121,02/20/09,Developed,Low Intensity Residential,50-100,13.3
C-329023,7568,AL,33.2574,-87.9498,02/21/09,Planted/Cultivated,Fallow,70-100,14
C-328897,7632,AL,34.0777,-85.9159,02/24/09,Forested Upland,Evergreen Forest,90-100,15.4
C-328955,7712,AL,30.9918,-88.2476,02/17/09,Developed,Low Intensity Residential,80-100,13.6
C-328898,7888,AL,33.2072,-86.0474,02/23/09,Forested Upland,Evergreen Forest,60-100,18.3
C-328946,7916,AL,34.6962,-86.121,02/25/09,Planted/Cultivated,Pasture/Hay,90-110,25.7
C-328838,7968,AL,32.0475,-86.7708,02/20/09,Developed,Low Intensity Residential,60-80,11.8
C-328830,8080,AL,33.7451,-86.4163,02/24/09,Planted/Cultivated,Pasture/Hay,25-55,10.1
C-328849,8400,AL,34.1757,-86.8882,02/26/09,Planted/Cultivated,Pasture/Hay,60-100,23.4
C-328833,8480,AL,31.1129,-85.2917,02/19/09,Developed,Low Intensity Residential,85-100,11.2
C-329006,8848,AL,33.34,-87.1178,02/22/09,Forested Upland,Evergreen Forest,80-100,12.4
C-328962,8912,AL,32.565,-86.2313,02/23/09,Planted/Cultivated,Fallow,70-100,14.9
C-328839,9104,AL,34.6482,-87.9884,02/25/09,Forested Upland,Deciduous Forest,60-100,13
C-328853,9196,AL,34.9865,-86.6495,02/25/09,Developed,Low Intensity Residential,60-80,11.6
C-328850,9312,AL,31.2839,-87.7323,02/18/09,Developed,Low Intensity Residential,70-100,14.2
C-328964,9424,AL,34.5908,-87.3118,02/26/09,Forested Upland,Mixed Forest,90-100,9.8
C-329016,9504,AL,31.5891,-85.3026,02/19/09,Planted/Cultivated,Pasture/Hay,70-100,5
C-328956,9568,AL,32.1291,-88.2593,02/20/09,Developed,Low Intensity Residential,80-100,18.7
C-328884,9680,AL,34.5426,-85.8749,02/24/09,Planted/Cultivated,Pasture/Hay,90-110,3.7
C-329024,9872,AL,33.5162,-86.2427,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,14.6
C-328891,9936,AL,33.0774,-85.5152,02/23/09,Developed,Low Intensity Residential,20-100,24.2
C-328825,10016,AL,31.4153,-87.4535,02/18/09,Planted/Cultivated,Pasture/Hay,20-100,13.6
C-329025,10128,AL,33.9728,-87.7726,02/25/09,Developed,Low Intensity Residential,60-100,18.2
C-328831,10528,AL,31.8651,-85.7223,02/19/09,Developed,Low Intensity Residential,80-100,6.3
C-329015,10640,AL,33.1401,-88.1242,02/21/09,Planted/Cultivated,Pasture/Hay,50-100,11.2
C-328851,10704,AL,33.5706,-85.9403,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,16.2
C-328829,10784,AL,30.5495,-88.3765,02/17/09,Planted/Cultivated,Pasture/Hay,40-100,8
C-328892,10896,AL,32.589,-86.5488,02/23/09,Forested Upland,Evergreen Forest,60-100,4.5
C-328834,10960,AL,32.1989,-85.0352,02/19/09,Developed,Low Intensity Residential,50-100,16.4
C-328826,11040,AL,32.0299,-87.6585,02/20/09,Planted/Cultivated,Pasture/Hay,70-100,10.9
C-328828,11152,AL,34.4221,-86.1854,02/24/09,Developed,Low Intensity Residential,70-100,11.7
C-329007,11664,AL,33.5529,-88.1652,02/21/09,Developed,Low Intensity Residential,70-100,14.3
C-328847,12064,AL,31.5975,-86.5142,02/18/09,Developed,Low Intensity Residential,10-100,6.5
C-328947,12176,AL,33.7108,-86.2876,02/24/09,Forested Upland,Evergreen Forest,50-100,14.2
C-328957,12240,AL,31.0351,-85.963,02/19/09,Planted/Cultivated,Pasture/Hay,60-100,9.3
C-328948,12384,AL,31.0565,-86.8005,02/18/09,Forested Upland,Evergreen Forest,60-100,12
C-328949,12496,AL,34.491,-86.9745,02/26/09,Forested Upland,Mixed Forest,70-95,17.2
C-329020,12576,AL,31.3212,-85.6504,02/19/09,Planted/Cultivated,Pasture/Hay,90-110,23.4
C-328836,12944,AL,32.7201,-87.3275,02/21/09,Planted/Cultivated,Pasture/Hay,80-100,12.1
C-328885,13008,AL,32.3102,-85.8508,02/20/09,Planted/Cultivated,Fallow,80-100,19.1
C-312898,396,AR,33.1884,-92.2193,07/15/08,Forested Upland,Deciduous Forest,80-100,13.3
C-312506,520,AR,36.3098,-93.373,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,10.5
C-312893,524,AR,34.5545,-90.859,07/14/08,Developed,Low Intensity Residential,80-100,20.2
C-312499,652,AR,33.8135,-94.0501,07/10/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,21
C-312520,776,AR,36.0753,-92.5572,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,100-120,4.1
C-312528,840,AR,35.3237,-90.5832,07/08/08,Planted/Cultivated,Row Crops,80-100,21.4
C-312555,908,AR,34.3803,-94.2684,07/10/08,Planted/Cultivated,Pasture/Hay,80-100,11.9
C-312552,1164,AR,34.4876,-92.5351,07/12/08,Forested Upland,Mixed Forest,80-100,17.2
C-312896,1420,AR,33.6766,-92.2899,07/15/08,Forested Upland,Mixed Forest,80-100,8.3
C-312513,1544,AR,35.5779,-92.1308,07/07/08,Developed,Low Intensity Residential,20-30,14.8
C-312903,1548,AR,34.1334,-91.3447,07/14/08,Planted/Cultivated,Row Crops,80-100,17.9
C-312566,1676,AR,33.6536,-94.2892,07/11/08,Planted/Cultivated,Pasture/Hay,80-100,9.5
C-312575,1932,AR,34.3118,-93.3308,07/12/08,Planted/Cultivated,Pasture/Hay,80-100,14.9
C-312909,2188,AR,34.2975,-92.0412,07/14/08,Developed,Low Intensity Residential,80-100,14.2
C-312551,2312,AR,35.5102,-94.3241,07/03/08,Planted/Cultivated,Pasture/Hay,80-100,13.4
C-312578,2444,AR,33.7001,-92.8183,07/11/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,11.9
C-312574,2568,AR,36.2067,-91.5655,07/01/08,Planted/Cultivated,Pasture/Hay,20-35,23.7
C-312527,2632,AR,35.3006,-91.1102,07/08/08,Planted/Cultivated,Pasture/Hay,80-100,13
C-312508,2700,AR,33.8287,-93.3677,07/12/08,Planted/Cultivated,Pasture/Hay,30-40,26.6
C-312890,3148,AR,33.2761,-91.4761,07/14/08,Planted/Cultivated,Row Crops,80-100,17.4
C-312571,3212,AR,34.9178,-91.6391,07/09/08,Forested Upland,Mixed Forest,40-50,14.5
C-312531,3336,AR,35.7546,-92.9821,07/07/08,Forested Upland,Mixed Forest,50-60,18.8
C-312519,3340,AR,35.0471,-90.4446,07/08/08,Planted/Cultivated,Row Crops,80-100,21.8
C-312536,3468,AR,33.4742,-92.9776,07/11/08,Planted/Cultivated,Pasture/Hay,80-100,23.9
C-312529,3592,AR,35.392,-92.7142,07/09/08,Developed,Low Intensity Residential,60-70,8.5
C-312537,3656,AR,35.9111,-90.7026,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,14.7
C-312554,3724,AR,34.9713,-94.165,07/10/08,Forested Upland,Mixed Forest,30-40,20.8
C-312514,4616,AR,36.3851,-93.6828,07/02/08,Developed,Low Intensity Residential,10-20,14.5
C-312895,4620,AR,34.1463,-91.1763,07/14/08,Forested Upland,Mixed Forest,80-100,16.4
C-312559,4748,AR,34.2814,-94.4383,07/10/08,Herbaceous Upland,Grasslands/Herbaceous,70-100,12.8
C-312565,4872,AR,36.3082,-92.4789,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,30-40,26.1
C-312579,4936,AR,35.7335,-90.6424,07/08/08,Planted/Cultivated,Pasture/Hay,80-100,18.6
C-312510,5004,AR,35.085,-93.4069,07/09/08,Developed,Low Intensity Residential,80-100,15
C-312572,5260,AR,34.2266,-92.4271,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,100-120,8.9
C-312899,5516,AR,34.1169,-92.2394,07/14/08,Developed,Low Intensity Residential,80-100,16.3
C-312545,5640,AR,35.6682,-92.1279,07/07/08,Forested Upland,Mixed Forest,20-30,17.6
C-312524,5644,AR,35.1942,-91.0489,07/08/08,Planted/Cultivated,Row Crops,80-100,16
C-312576,5772,AR,33.3593,-93.877,07/11/08,Developed,Low Intensity Residential,80-100,11.2
C-312577,6028,AR,34.5287,-93.1894,07/12/08,Developed,Low Intensity Residential,80-100,17.9
C-312904,6284,AR,34.3229,-91.7893,07/14/08,Planted/Cultivated,Row Crops,80-100,17.4
C-312509,6408,AR,35.5613,-93.9153,07/03/08,Planted/Cultivated,Pasture/Hay,70-90,12.4
C-312568,6472,AR,36.3915,-90.3951,07/01/08,Planted/Cultivated,Row Crops,75-90,16.6
C-312905,6540,AR,33.8657,-92.6043,07/15/08,Forested Upland,Mixed Forest,80-100,14.5
C-312546,6664,AR,36.4064,-91.875,07/01/08,Forested Upland,Mixed Forest,35-45,10.1
C-312562,6728,AR,35.9489,-91.1918,07/07/08,Forested Upland,Mixed Forest,80-100,20
C-312570,6796,AR,34.1693,-93.627,07/12/08,Planted/Cultivated,Pasture/Hay,30-40,12.8
C-312901,7244,AR,33.3827,-91.2223,07/14/08,Planted/Cultivated,Pasture/Hay,80-100,21.6
C-312564,7308,AR,35.1819,-92.3437,07/09/08,Planted/Cultivated,Pasture/Hay,80-100,11.3
C-312544,7432,AR,35.508,-93.6489,07/03/08,Planted/Cultivated,Pasture/Hay,20-30,24.6
C-312558,7436,AR,34.8762,-90.8773,07/08/08,Planted/Cultivated,Pasture/Hay,80-100,16.9
C-312553,7564,AR,33.0789,-93.5691,07/11/08,Forested Upland,Mixed Forest,80-100,22.1
C-312535,7688,AR,35.6361,-92.3712,07/07/08,Developed,Low Intensity Residential,80-100,21.6
C-312563,7752,AR,36.0509,-90.4386,07/01/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,12.2
C-312523,7820,AR,34.6569,-94.0804,07/10/08,Forested Upland,Mixed Forest,30-40,13.5
C-312908,8588,AR,33.4788,-92.387,07/15/08,Planted/Cultivated,Row Crops,80-100,8.4
C-312900,8716,AR,34.4603,-91.341,07/14/08,Developed,Low Intensity Residential,80-100,17.8
C-312502,8776,AR,36.4643,-90.8315,07/01/08,Planted/Cultivated,Pasture/Hay,70-100,18
C-312534,8844,AR,33.7615,-94.421,07/11/08,Developed,Low Intensity Residential,80-100,13.5
C-312518,9032,AR,35.4685,-90.4141,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,15.8
C-312580,9100,AR,35.3829,-93.2831,07/03/08,Planted/Cultivated,Row Crops,80-100,16.2
C-312892,9292,AR,33.7812,-91.2358,07/14/08,Developed,Low Intensity Residential,80-100,14.1
C-312891,9356,AR,34.5435,-92.2176,07/14/08,Planted/Cultivated,Pasture/Hay,80-100,9.8
C-312906,9612,AR,33.8857,-92.0338,07/15/08,Planted/Cultivated,Pasture/Hay,80-100,16.4
C-312543,9736,AR,35.5482,-91.5798,07/07/08,Developed,Low Intensity Residential,20-30,15.1
C-312540,9740,AR,34.8646,-91.5232,07/08/08,Forested Upland,Deciduous Forest,80-100,12.4
C-312526,9800,AR,35.3977,-91.551,07/07/08,Developed,Low Intensity Residential,10-20,11.3
C-312548,10124,AR,34.2351,-93.622,07/12/08,Planted/Cultivated,Pasture/Hay,15-25,14.2
C-312507,10312,AR,36.4789,-91.6528,07/01/08,Herbaceous Upland,Grasslands/Herbaceous,25-40,22.1
C-312522,10380,AR,34.9936,-91.7811,07/09/08,Planted/Cultivated,Pasture/Hay,80-100,17.4
C-312556,10504,AR,35.9075,-94.0986,07/03/08,Forested Upland,Mixed Forest,30-40,23.3
C-312547,10636,AR,33.0673,-92.9331,07/11/08,Developed,Low Intensity Residential,80-100,16.1
C-312505,10760,AR,35.9428,-91.565,07/07/08,Planted/Cultivated,Pasture/Hay,20-25,19.4
C-312557,10824,AR,36.2949,-90.8774,07/01/08,Planted/Cultivated,Row Crops,80-100,18.2
C-312549,10892,AR,34.9726,-94.0387,07/10/08,Forested Upland,Mixed Forest,30-40,25.1
C-312515,11404,AR,34.9823,-92.8768,07/09/08,Planted/Cultivated,Pasture/Hay,80-100,28.8
C-312569,11528,AR,36.2184,-92.9668,07/02/08,Planted/Cultivated,Pasture/Hay,20-30,47.5
C-312532,11660,AR,33.4986,-93.6927,07/11/08,Planted/Cultivated,Pasture/Hay,80-100,14.7
C-312530,11784,AR,36.2553,-92.7958,07/02/08,Planted/Cultivated,Pasture/Hay,20-30,7.9
C-312511,11816,AR,36.4582,-94.3851,07/02/08,Developed,Low Intensity Residential,5-10,22.9
C-312500,11848,AR,35.8657,-90.245,07/08/08,Planted/Cultivated,Row Crops,80-100,11.9
C-312541,11916,AR,34.5482,-93.8729,07/10/08,Forested Upland,Mixed Forest,30-40,11.1
C-312581,12428,AR,34.7262,-92.7387,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,40-50,15.3
C-312907,12684,AR,33.6812,-91.8481,07/15/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,14.4
C-312501,12808,AR,36.2036,-94.0901,07/03/08,Developed,Low Intensity Residential,50-60,18
C-312894,12812,AR,34.4453,-91.2884,07/14/08,Herbaceous Upland,Grasslands/Herbaceous,80-100,20.6
C-312503,12940,AR,34.0539,-94.0363,07/10/08,Planted/Cultivated,Pasture/Hay,80-100,12.4
C-312521,13196,AR,35.0649,-93.3922,07/09/08,Developed,Low Intensity Residential,50-60,16.8
C-338990,43,AZ,36.4526,-109.1665,04/22/09,Herbaceous Upland,Grasslands/Herbaceous,84-97,18.7
C-352731,84,AZ,32.494,-109.473,06/21/10,Shrubland,Shrubland,24-36,30.2
C-352732,175,AZ,35.4173,-113.2629,07/18/10,Shrubland,Shrubland,66-83,6.8
C-352733,212,AZ,33.6922,-109.137,06/29/10,Shrubland,Shrubland,15-20,12.3
C-346865,247,AZ,34.65,-113.3945,07/20/10,Shrubland,Shrubland,80-97,36
C-346858,431,AZ,36.0545,-114.046,07/19/10,Shrubland,Shrubland,77-91,16
C-352734,468,AZ,33.9395,-110.9655,07/03/10,Forested Upland,Mixed Forest,25-35,11.5
C-352735,523,AZ,31.8178,-111.5432,06/24/10,Shrubland,Shrubland,31-47,31.7
C-352736,532,AZ,32.6656,-110.2759,06/28/10,Shrubland,Shrubland,77-92,23.8
C-346838,687,AZ,36.0484,-112.1142,07/23/10,Forested Upland,Evergreen Forest,30-45,17.7
C-338991,695,AZ,34.2212,-111.4357,04/26/09,Shrubland,Shrubland,96-106,15.3
C-351609,724,AZ,32.8725,-110.5996,06/27/10,Shrubland,Shrubland,72-80,6.8
C-338992,731,AZ,35.1312,-111.186,04/20/09,Herbaceous Upland,Grasslands/Herbaceous,20-30,20.6
C-338993,943,AZ,36.1275,-111.6719,04/20/09,Shrubland,Shrubland,28-35,10.3
C-351610,951,AZ,32.8819,-113.0651,07/07/10,Shrubland,Shrubland,79-102,15.5
C-338994,987,AZ,36.1958,-110.5837,04/23/09,Shrubland,Shrubland,54-64,11.9
C-351611,1015,AZ,33.3708,-114.1644,07/10/10,Shrubland,Shrubland,48-54,21.2
C-352737,1099,AZ,32.238,-112.7487,07/08/10,Shrubland,Shrubland,55-63,21.9
C-352739,1108,AZ,31.9037,-109.6289,06/22/10,Planted/Cultivated,Row Crops,83-110,23.5
C-346860,1199,AZ,35.3291,-113.9767,07/19/10,Shrubland,Shrubland,73-96,20.7
C-352740,1236,AZ,34.7168,-109.0718,07/02/10,Shrubland,Shrubland,90-111,15.7
C-351613,1271,AZ,33.9985,-113.1254,07/11/10,Shrubland,Shrubland,80-101,23.6
C-338995,1492,AZ,34.8209,-111.4247,04/25/09,Forested Upland,Evergreen Forest,56-62,16.9
C-351614,1547,AZ,32.8398,-112.0322,07/06/10,Shrubland,Shrubland,80-99,17
C-352741,1556,AZ,32.5819,-110.8467,06/26/10,Shrubland,Shrubland,25-40,35.7
C-352742,1711,AZ,34.8367,-112.6186,07/16/10,Shrubland,Shrubland,57-63,28.6
C-351615,1719,AZ,33.697,-112.1444,07/05/10,Planted/Cultivated,Urban/Recreational Grasses,85-109,15.3
C-338997,1748,AZ,33.5679,-111.2353,04/26/09,Shrubland,Shrubland,25-35,30
C-338998,1755,AZ,35.888,-109.269,04/22/09,Forested Upland,Evergreen Forest,53-60,6
C-351616,1975,AZ,33.3278,-113.6826,07/11/10,Shrubland,Shrubland,60-70,11.7
C-338999,2011,AZ,36.5836,-111.6553,04/21/09,Shrubland,Shrubland,20-26,6
C-339000,2091,AZ,36.4215,-109.7194,04/22/09,Shrubland,Shrubland,80-102,8.8
C-346867,2223,AZ,34.9314,-114.0406,07/21/10,Shrubland,Shrubland,25-35,16.8
C-352743,2295,AZ,33.6462,-113.9748,07/10/10,Shrubland,Shrubland,45-55,13.9
C-352744,2324,AZ,32.0223,-109.9066,06/21/10,Herbaceous Upland,Grasslands/Herbaceous,82-102,20.6
C-364522,2479,AZ,35.4001,-112.8341,07/18/10,Shrubland,Shrubland,82-101,7.7
C-352745,2487,AZ,34.4979,-112.2633,07/15/10,Shrubland,Shrubland,42-58,5.1
C-339001,2516,AZ,34.29,-110.0268,04/27/09,Shrubland,Shrubland,84-94,24.4
C-339002,2523,AZ,35.8665,-110.3012,04/19/09,Shrubland,Shrubland,90-110,17.3
C-352746,2571,AZ,32.2494,-111.2777,06/24/10,Shrubland,Shrubland,81-99,24.5
C-351617,2743,AZ,32.9946,-112.5225,07/09/10,Shrubland,Shrubland,81-91,18.8
C-352747,2772,AZ,33.1454,-110.0484,06/28/10,Shrubland,Shrubland,15-18,14.4
C-339003,2779,AZ,36.2341,-109.6102,04/22/09,Shrubland,Shrubland,80-96,11.9
C-352749,2964,AZ,33.5137,-109.3169,06/29/10,Forested Upland,Mixed Forest,51-63,10.5
C-351618,2999,AZ,32.7395,-113.7392,07/09/10,Shrubland,Shrubland,80-87,10.6
C-339005,3035,AZ,36.815,-110.6109,04/21/09,Shrubland,Shrubland,100-118,10.4
C-346857,3247,AZ,36.5602,-113.9153,07/26/10,Shrubland,Shrubland,49-60,6.1
C-352750,3284,AZ,34.1288,-109.7972,06/30/10,Forested Upland,Mixed Forest,25-33,21.5
C-352751,3348,AZ,31.968,-110.425,06/21/10,Developed,Low Intensity Residential,81-98,28.6
C-339006,3503,AZ,35.4564,-111.5563,04/24/09,Shrubland,Shrubland,72-82,17
C-352752,3511,AZ,34.2702,-112.6503,07/13/10,Shrubland,Shrubland,18-29,10.5
C-352753,3540,AZ,32.8545,-110.3405,06/28/10,Shrubland,Shrubland,28-40,76
C-339007,3547,AZ,35.9212,-111.1544,04/20/09,Shrubland,Shrubland,84-104,10.7
C-346847,3759,AZ,36.5035,-112.9884,07/25/10,Shrubland,Shrubland,14-19,9.6
C-339008,3767,AZ,33.7309,-111.5135,04/26/09,Shrubland,Shrubland,24-28,30.6
C-351619,3831,AZ,32.6675,-113.9883,07/09/10,Shrubland,Shrubland,79-96,15
C-352754,3988,AZ,33.2897,-109.4032,06/29/10,Shrubland,Shrubland,65-73,17.5
C-351620,4023,AZ,33.466,-112.9377,07/05/10,Shrubland,Shrubland,85-108,20.4
C-339009,4139,AZ,36.7194,-109.4202,04/22/09,Shrubland,Shrubland,86-101,10.5
C-352755,4180,AZ,32.3599,-109.5721,06/21/10,Shrubland,Shrubland,26-31,23.2
C-346863,4271,AZ,35.0858,-113.6456,07/20/10,Shrubland,Shrubland,48-55,24.4
C-352756,4343,AZ,34.3823,-113.1592,07/13/10,Shrubland,Shrubland,20-30,27.5
C-346851,4527,AZ,36.1222,-113.504,07/26/10,Shrubland,Shrubland,82-105,17
C-352757,4564,AZ,34.2831,-111.0694,07/15/10,Forested Upland,Mixed Forest,79-92,15.2
C-352760,4599,AZ,33.9415,-114.2117,07/10/10,Shrubland,Shrubland,77-98,8.5
C-352761,4619,AZ,32.1282,-111.1335,06/24/10,Shrubland,Shrubland,74-86,21
C-352762,4628,AZ,32.5569,-109.7487,06/28/10,Shrubland,Shrubland,80-101,26.8
C-352763,4783,AZ,35.0001,-112.3534,07/16/10,Shrubland,Shrubland,82-100,18.2
C-352764,4791,AZ,33.9148,-111.3122,07/14/10,Shrubland,Shrubland,33-45,15.3
C-352766,4820,AZ,33.331,-110.845,06/27/10,Shrubland,Shrubland,46-61,17.8
C-352767,4827,AZ,35.0903,-110.9392,07/02/10,Shrubland,Shrubland,85-111,14.7
C-346846,5039,AZ,36.5298,-112.2219,07/25/10,Forested Upland,Mixed Forest,37-43,14.8
C-352768,5047,AZ,32.4347,-112.6576,07/08/10,Shrubland,Shrubland,32-43,16.9
C-339010,5083,AZ,36.5103,-110.4363,04/21/09,Shrubland,Shrubland,26-35,28.5
C-351622,5195,AZ,31.977,-112.7736,07/08/10,Shrubland,Shrubland,30-37,17.8
C-352769,5204,AZ,31.8648,-109.3575,06/22/10,Forested Upland,Mixed Forest,22-46,26
C-346859,5295,AZ,35.7384,-114.0204,07/19/10,Shrubland,Shrubland,56-65,17.9
C-352770,5332,AZ,34.7906,-109.8947,07/02/10,Herbaceous Upland,Grasslands/Herbaceous,82-97,31.6
C-351623,5367,AZ,33.7621,-113.2524,07/11/10,Shrubland,Shrubland,55-64,18.9
C-346855,5551,AZ,36.7351,-114.0408,07/26/10,Shrubland,Shrubland,28-36,17.6
C-352771,5588,AZ,34.8053,-110.6384,07/03/10,Shrubland,Shrubland,15-23,13.8
C-339013,5595,AZ,36.1669,-110.6183,04/23/09,Shrubland,Shrubland,55-67,13.7
C-352772,5643,AZ,31.5418,-111.5487,06/24/10,Shrubland,Shrubland,41-54,26.2
C-346840,5807,AZ,36.0908,-112.6981,07/22/10,Shrubland,Shrubland,17-27,10.2
C-351624,5815,AZ,33.6593,-112.596,07/05/10,Shrubland,Shrubland,28-46,13.2
C-352773,5844,AZ,33.5604,-110.6783,06/28/10,Forested Upland,Mixed Forest,80-100,5.8
C-339014,5851,AZ,36.1781,-109.0773,04/22/09,Shrubland,Shrubland,80-100,13.7
C-351625,6071,AZ,33.3547,-113.6916,07/11/10,Shrubland,Shrubland,20-25,17.4
C-339015,6107,AZ,36.1603,-111.3842,04/21/09,Shrubland,Shrubland,12-20,14.3
C-346864,6319,AZ,34.9656,-113.7029,07/20/10,Shrubland,Shrubland,61-71,22.8
C-352774,6391,AZ,33.7672,-113.5579,07/10/10,Shrubland,Shrubland,52-62,30.6
C-352775,6420,AZ,31.7555,-109.7459,06/23/10,Planted/Cultivated,Fallow,63-79,56.9
C-346839,6575,AZ,35.7672,-112.8131,07/22/10,Shrubland,Shrubland,19-27,15.9
C-351626,6583,AZ,33.8049,-112.0351,07/14/10,Shrubland,Shrubland,35-52,11.9
C-352776,6612,AZ,34.302,-110.3482,06/30/10,Forested Upland,Evergreen Forest,90-107,64.8
C-339016,6619,AZ,35.4736,-110.6492,04/20/09,Barren,Bare Rock/Sand/Clay,104-122,10.9
C-352777,6667,AZ,32.2922,-111.347,06/24/10,Shrubland,Shrubland,91-118,27.6
C-351627,6839,AZ,32.8121,-112.3241,07/06/10,Shrubland,Shrubland,75-91,12.4
C-339017,6875,AZ,35.602,-109.7411,04/19/09,Shrubland,Shrubland,80-96,13.7
