C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-349817,10728,IA,42.024,-93.2704,06/29/10,Planted/Cultivated,Row Crops,102-157,15.7
C-349832,10984,IA,41.7961,-90.9513,07/01/10,Planted/Cultivated,Row Crops,113-160,16.7
C-349807,11112,IA,42.6176,-93.3415,07/08/10,Planted/Cultivated,Row Crops,118-142,14.1
C-349829,11176,IA,41.477,-90.6976,07/01/10,Planted/Cultivated,Row Crops,130-156,19
C-349795,11288,IA,43.4358,-94.6591,07/07/10,Planted/Cultivated,Row Crops,100-160,15.7
C-349805,11352,IA,42.4593,-94.4574,07/08/10,Planted/Cultivated,Row Crops,120-158,13.2
C-348512,11496,IA,40.6203,-92.4559,05/24/10,Planted/Cultivated,Row Crops,117-157,17.2
C-349783,11624,IA,43.134,-91.7236,07/02/10,Planted/Cultivated,Fallow,127-159,18.5
C-349818,11752,IA,41.7159,-93.2207,06/29/10,Planted/Cultivated,Row Crops,122-155,20
C-346702,11800,IA,41.1434,-94.5607,05/23/10,Planted/Cultivated,Pasture/Hay,120-153,20.4
C-349834,12008,IA,41.7972,-91.572,07/01/10,Planted/Cultivated,Row Crops,119-160,19.4
C-349801,12312,IA,42.8817,-95.1293,07/08/10,Forested Upland,Deciduous Forest,115-145,17.1
C-349814,12376,IA,41.6454,-93.9426,06/29/10,Planted/Cultivated,Pasture/Hay,97-150,17.6
C-349792,12568,IA,43.3401,-95.2897,07/06/10,Planted/Cultivated,Row Crops,98-141,14.1
C-348513,12776,IA,40.7173,-92.9936,05/24/10,Planted/Cultivated,Row Crops,138-165,18.5
C-349839,12824,IA,42.3856,-95.4784,06/16/10,Planted/Cultivated,Row Crops,118-163,15.6
C-349823,13032,IA,41.7919,-92.6185,06/30/10,Planted/Cultivated,Row Crops,93-152,18.6
C-335270,222,ID,48.6726,-116.4303,06/17/09,Planted/Cultivated,Row Crops,60-100,17
C-335271,399,ID,42.9154,-115.9368,06/13/09,Herbaceous Upland,Grasslands/Herbaceous,50-100,14.6
C-335272,462,ID,44.8115,-113.9724,06/19/09,Shrubland,Shrubland,20-50,12.8
C-335274,527,ID,42.4968,-115.9127,06/13/09,Shrubland,Shrubland,0-25,17.8
C-335275,590,ID,47.4853,-116.0632,06/18/09,Forested Upland,Evergreen Forest,0-20,90.9
C-335276,635,ID,42.2106,-111.6711,06/10/09,Forested Upland,Mixed Forest,5-10,22.1
C-335277,655,ID,43.18,-113.0121,07/02/09,Shrubland,Shrubland,0-20,22.3
C-335278,718,ID,44.4551,-115.0985,06/30/09,Forested Upland,Evergreen Forest,0-20,16
C-335430,910,ID,45.4104,-113.8573,06/19/09,Forested Upland,Evergreen Forest,10-25,10.9
