Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-328818,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,6.8
C-328804,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,0-5,10.3
C-328805,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,0-5,6.8
C-328864,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,0-5,12.6
C-328777,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,0-5,15.4
C-328859,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,0-5,15.5
C-328793,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,0-5,11.4
C-328863,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,0-5,24.9
C-329053,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,0-5,11.6
C-328778,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,0-5,18.7
C-329056,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,0-5,16.4
C-328811,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,0-5,7
C-329065,2704,AL,32.9905,-86.651,02/23/09,Forested Upland,Mixed Forest,0-5,23.9
C-328992,2768,AL,32.5952,-85.5658,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,12.4
C-328803,2848,AL,32.392,-87.4686,02/21/09,Developed,Low Intensity Residential,0-5,30.6
C-329057,2960,AL,34.0736,-87.9234,02/25/09,Forested Upland,Deciduous Forest,0-5,10.4
C-328990,3052,AL,34.9852,-87.5194,02/25/09,Planted/Cultivated,Pasture/Hay,0-5,21.1
C-329052,3168,AL,31.3746,-88.0048,02/17/09,Developed,Low Intensity Residential,0-5,15.9
C-328870,3472,AL,33.3123,-87.8587,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,7.2
C-329055,3536,AL,33.6629,-85.66,02/24/09,Planted/Cultivated,Fallow,0-5,31.8
C-328816,3616,AL,30.8919,-88.0869,02/17/09,Developed,Low Intensity Residential,0-5,5.5
C-328865,3728,AL,32.6467,-86.5986,02/23/09,Planted/Cultivated,Pasture/Hay,0-5,7.4
C-328786,3792,AL,33.0284,-85.6592,02/23/09,Developed,Low Intensity Residential,0-5,13.5
C-328874,3872,AL,31.9654,-87.0744,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,21.3
C-328876,3984,AL,34.5247,-86.4085,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,13.4
C-328791,4192,AL,31.0277,-87.061,02/18/09,Developed,Low Intensity Residential,0-5,6.5
C-328780,4304,AL,34.0374,-87.2118,02/26/09,Forested Upland,Evergreen Forest,0-5,10.1
C-328866,4384,AL,31.4932,-86.1309,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,9.9
C-328877,4752,AL,33.491,-87.5339,02/26/09,Planted/Cultivated,Fallow,0-5,12.1
C-329001,4816,AL,32.8294,-86.1011,02/23/09,Developed,Low Intensity Residential,0-5,17.1
C-328867,5008,AL,34.3422,-87.9365,02/25/09,Developed,Low Intensity Residential,0-5,8.7
C-328812,5328,AL,34.3654,-87.0215,02/26/09,Planted/Cultivated,Pasture/Hay,0-5,39.3
C-328814,5408,AL,32.0066,-85.1349,02/19/09,Developed,Low Intensity Residential,0-5,6
C-328796,5472,AL,32.4912,-87.8568,02/21/09,Developed,Low Intensity Residential,0-5,24.2
C-328784,5520,AL,33.2135,-88.2789,02/21/09,Planted/Cultivated,Urban/Recreational Grasses,0-5,10.3
C-328993,5776,AL,32.9087,-87.3015,02/21/09,Forested Upland,Mixed Forest,0-5,9
C-329066,5920,AL,31.44,-87.273,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,10.5
C-328807,6240,AL,30.6595,-87.7096,02/17/09,Developed,Low Intensity Residential,0-5,10.2
C-329062,6432,AL,32.1404,-85.8959,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,11.9
C-329058,6544,AL,33.0422,-87.5904,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,7.9
C-329061,6688,AL,30.6134,-88.2555,02/17/09,Developed,Low Intensity Residential,0-5,5.5
C-328785,6800,AL,32.8959,-86.3391,02/23/09,Forested Upland,Evergreen Forest,0-5,13.3
C-328792,6864,AL,32.5015,-85.1717,02/19/09,Developed,Low Intensity Residential,0-5,5.4
C-328790,6944,AL,31.9466,-87.2578,02/20/09,Developed,Low Intensity Residential,0-5,11.8
C-328991,7056,AL,34.0191,-87.8219,02/25/09,Developed,Low Intensity Residential,0-5,10.4
C-328783,7264,AL,31.8158,-88.3121,02/20/09,Developed,Low Intensity Residential,0-5,9.7
C-329067,7568,AL,33.2574,-87.9498,02/21/09,Planted/Cultivated,Fallow,0-5,17
C-328794,7632,AL,34.0777,-85.9159,02/24/09,Forested Upland,Evergreen Forest,0-5,20.1
C-328808,7712,AL,30.9918,-88.2476,02/17/09,Developed,Low Intensity Residential,0-5,7.6
C-328795,7888,AL,33.2072,-86.0474,02/23/09,Forested Upland,Evergreen Forest,0-5,9.1
C-328799,7916,AL,34.6962,-86.121,02/25/09,Planted/Cultivated,Pasture/Hay,0-5,29.6
C-328860,7968,AL,32.0475,-86.7708,02/20/09,Developed,Low Intensity Residential,0-5,19
C-328999,8080,AL,33.7451,-86.4163,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,11.3
C-328871,8400,AL,34.1757,-86.8882,02/26/09,Planted/Cultivated,Pasture/Hay,0-5,19.2
C-329002,8480,AL,31.1129,-85.2917,02/19/09,Developed,Low Intensity Residential,0-5,6.6
C-329050,8848,AL,33.34,-87.1178,02/22/09,Forested Upland,Evergreen Forest,0-5,8.6
C-328815,8912,AL,32.565,-86.2313,02/23/09,Planted/Cultivated,Fallow,0-5,29.1
C-328861,9104,AL,34.6482,-87.9884,02/25/09,Forested Upland,Deciduous Forest,0-5,17.4
C-328875,9196,AL,34.9865,-86.6495,02/25/09,Developed,Low Intensity Residential,0-5,15.2
C-328872,9312,AL,31.2839,-87.7323,02/18/09,Developed,Low Intensity Residential,0-5,17
C-328817,9424,AL,34.5908,-87.3118,02/26/09,Forested Upland,Mixed Forest,0-5,13.5
C-329060,9504,AL,31.5891,-85.3026,02/19/09,Planted/Cultivated,Pasture/Hay,0-5,18.4
C-328809,9568,AL,32.1291,-88.2593,02/20/09,Developed,Low Intensity Residential,0-5,11.5
C-328781,9680,AL,34.5426,-85.8749,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,10.1
C-329068,9872,AL,33.5162,-86.2427,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,14.2
C-328788,9936,AL,33.0774,-85.5152,02/23/09,Developed,Low Intensity Residential,0-5,28
C-328994,10016,AL,31.4153,-87.4535,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,12.2
C-329069,10128,AL,33.9728,-87.7726,02/25/09,Developed,Low Intensity Residential,0-5,12.8
C-329000,10528,AL,31.8651,-85.7223,02/19/09,Developed,Low Intensity Residential,0-5,11.6
C-329059,10640,AL,33.1401,-88.1242,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,25.3
C-328873,10704,AL,33.5706,-85.9403,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,17.6
C-328998,10784,AL,30.5495,-88.3765,02/17/09,Planted/Cultivated,Pasture/Hay,0-5,9.6
C-328789,10896,AL,32.589,-86.5488,02/23/09,Forested Upland,Evergreen Forest,0-5,5.2
C-329003,10960,AL,32.1989,-85.0352,02/19/09,Developed,Low Intensity Residential,0-5,39.2
C-328995,11040,AL,32.0299,-87.6585,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,9.6
C-328997,11152,AL,34.4221,-86.1854,02/24/09,Developed,Low Intensity Residential,0-5,20.8
C-329051,11664,AL,33.5529,-88.1652,02/21/09,Developed,Low Intensity Residential,0-5,14.4
C-328869,12064,AL,31.5975,-86.5142,02/18/09,Developed,Low Intensity Residential,0-5,14.9
C-328800,12176,AL,33.7108,-86.2876,02/24/09,Forested Upland,Evergreen Forest,0-5,12.9
C-328810,12240,AL,31.0351,-85.963,02/19/09,Planted/Cultivated,Pasture/Hay,0-5,5.2
C-328801,12384,AL,31.0565,-86.8005,02/18/09,Forested Upland,Evergreen Forest,0-5,8.5
C-328802,12496,AL,34.491,-86.9745,02/26/09,Forested Upland,Mixed Forest,0-5,12.4
C-329064,12576,AL,31.3212,-85.6504,02/19/09,Planted/Cultivated,Pasture/Hay,0-5,6.2
C-328858,12944,AL,32.7201,-87.3275,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,10
C-328782,13008,AL,32.3102,-85.8508,02/20/09,Planted/Cultivated,Fallow,0-5,20
C-312854,396,AR,33.1884,-92.2193,07/15/08,Forested Upland,Deciduous Forest,0-5,20.7
C-312333,520,AR,36.3098,-93.373,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,12.7
C-312850,524,AR,34.5545,-90.859,07/14/08,Developed,Low Intensity Residential,0-5,18
C-312326,652,AR,33.8135,-94.0501,07/10/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15.3
C-312350,776,AR,36.0753,-92.5572,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,6.3
C-312358,840,AR,35.3237,-90.5832,07/08/08,Planted/Cultivated,Row Crops,0-5,24.5
C-312385,908,AR,34.3803,-94.2684,07/10/08,Planted/Cultivated,Pasture/Hay,0-5,11.7
C-312382,1164,AR,34.4876,-92.5351,07/12/08,Forested Upland,Mixed Forest,0-5,12.5
C-312853,1420,AR,33.6766,-92.2899,07/15/08,Forested Upland,Mixed Forest,0-5,10.5
C-312340,1544,AR,35.5779,-92.1308,07/07/08,Developed,Low Intensity Residential,0-5,16.5
C-312859,1548,AR,34.1334,-91.3447,07/14/08,Planted/Cultivated,Row Crops,0-5,17.1
C-312396,1676,AR,33.6536,-94.2892,07/11/08,Planted/Cultivated,Pasture/Hay,0-5,7.1
C-312405,1932,AR,34.3118,-93.3308,07/12/08,Planted/Cultivated,Pasture/Hay,0-5,18.1
C-312865,2188,AR,34.2975,-92.0412,07/14/08,Developed,Low Intensity Residential,0-5,28.5
C-312381,2312,AR,35.5102,-94.3241,07/03/08,Planted/Cultivated,Pasture/Hay,0-5,13.7
C-312408,2444,AR,33.7001,-92.8183,07/11/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,10.4
C-312404,2568,AR,36.2067,-91.5655,07/01/08,Planted/Cultivated,Pasture/Hay,0-5,27.3
C-312357,2632,AR,35.3006,-91.1102,07/08/08,Planted/Cultivated,Pasture/Hay,0-5,13.9
C-312335,2700,AR,33.8287,-93.3677,07/12/08,Planted/Cultivated,Pasture/Hay,0-5,33.1
C-312846,3148,AR,33.2761,-91.4761,07/14/08,Planted/Cultivated,Row Crops,0-5,17.6
C-312401,3212,AR,34.9178,-91.6391,07/09/08,Forested Upland,Mixed Forest,0-5,19.7
C-312361,3336,AR,35.7546,-92.9821,07/07/08,Forested Upland,Mixed Forest,0-5,22.1
C-312349,3340,AR,35.0471,-90.4446,07/08/08,Planted/Cultivated,Row Crops,0-5,23
C-312366,3468,AR,33.4742,-92.9776,07/11/08,Planted/Cultivated,Pasture/Hay,0-5,22.2
C-312359,3592,AR,35.392,-92.7142,07/09/08,Developed,Low Intensity Residential,0-5,46.6
C-312367,3656,AR,35.9111,-90.7026,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,12.4
C-312384,3724,AR,34.9713,-94.165,07/10/08,Forested Upland,Mixed Forest,0-5,26.7
C-312341,4616,AR,36.3851,-93.6828,07/02/08,Developed,Low Intensity Residential,0-5,19.5
C-312852,4620,AR,34.1463,-91.1763,07/14/08,Forested Upland,Mixed Forest,0-5,27.6
C-312389,4748,AR,34.2814,-94.4383,07/10/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,13.1
C-312395,4872,AR,36.3082,-92.4789,07/02/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,22.5
C-312409,4936,AR,35.7335,-90.6424,07/08/08,Planted/Cultivated,Pasture/Hay,0-5,26.3
C-312337,5004,AR,35.085,-93.4069,07/09/08,Developed,Low Intensity Residential,0-5,12.9
C-312402,5260,AR,34.2266,-92.4271,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,11.4
C-312855,5516,AR,34.1169,-92.2394,07/14/08,Developed,Low Intensity Residential,0-5,23.9
C-312375,5640,AR,35.6682,-92.1279,07/07/08,Forested Upland,Mixed Forest,0-5,23.5
C-312354,5644,AR,35.1942,-91.0489,07/08/08,Planted/Cultivated,Row Crops,0-5,33.1
C-312406,5772,AR,33.3593,-93.877,07/11/08,Developed,Low Intensity Residential,0-5,11
C-312407,6028,AR,34.5287,-93.1894,07/12/08,Developed,Low Intensity Residential,0-5,14
C-312860,6284,AR,34.3229,-91.7893,07/14/08,Planted/Cultivated,Row Crops,0-5,20.7
C-312336,6408,AR,35.5613,-93.9153,07/03/08,Planted/Cultivated,Pasture/Hay,0-5,14.8
C-312398,6472,AR,36.3915,-90.3951,07/01/08,Planted/Cultivated,Row Crops,0-5,17.6
C-312861,6540,AR,33.8657,-92.6043,07/15/08,Forested Upland,Mixed Forest,0-5,11.7
C-312376,6664,AR,36.4064,-91.875,07/01/08,Forested Upland,Mixed Forest,0-5,14.4
C-312392,6728,AR,35.9489,-91.1918,07/07/08,Forested Upland,Mixed Forest,0-5,57.7
C-312400,6796,AR,34.1693,-93.627,07/12/08,Planted/Cultivated,Pasture/Hay,0-5,15
C-312858,7244,AR,33.3827,-91.2223,07/14/08,Planted/Cultivated,Pasture/Hay,0-5,19.7
C-312394,7308,AR,35.1819,-92.3437,07/09/08,Planted/Cultivated,Pasture/Hay,0-5,8.5
C-312374,7432,AR,35.508,-93.6489,07/03/08,Planted/Cultivated,Pasture/Hay,0-5,27.5
C-312388,7436,AR,34.8762,-90.8773,07/08/08,Planted/Cultivated,Pasture/Hay,0-5,25
C-312383,7564,AR,33.0789,-93.5691,07/11/08,Forested Upland,Mixed Forest,0-5,18
C-312365,7688,AR,35.6361,-92.3712,07/07/08,Developed,Low Intensity Residential,0-5,28.7
C-312393,7752,AR,36.0509,-90.4386,07/01/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,22.1
C-312353,7820,AR,34.6569,-94.0804,07/10/08,Forested Upland,Mixed Forest,0-5,23.1
C-312864,8588,AR,33.4788,-92.387,07/15/08,Planted/Cultivated,Row Crops,0-5,6.2
C-312857,8716,AR,34.4603,-91.341,07/14/08,Developed,Low Intensity Residential,0-5,24.5
C-312329,8776,AR,36.4643,-90.8315,07/01/08,Planted/Cultivated,Pasture/Hay,0-5,22.1
C-312364,8844,AR,33.7615,-94.421,07/11/08,Developed,Low Intensity Residential,0-5,12.1
C-312348,9032,AR,35.4685,-90.4141,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,28.4
C-312410,9100,AR,35.3829,-93.2831,07/03/08,Planted/Cultivated,Row Crops,0-5,10.9
C-312849,9292,AR,33.7812,-91.2358,07/14/08,Developed,Low Intensity Residential,0-5,16.2
C-312847,9356,AR,34.5435,-92.2176,07/14/08,Planted/Cultivated,Pasture/Hay,0-5,18.1
C-312862,9612,AR,33.8857,-92.0338,07/15/08,Planted/Cultivated,Pasture/Hay,0-5,16.5
C-312373,9736,AR,35.5482,-91.5798,07/07/08,Developed,Low Intensity Residential,0-5,24.2
C-312370,9740,AR,34.8646,-91.5232,07/08/08,Forested Upland,Deciduous Forest,0-5,69.3
C-312356,9800,AR,35.3977,-91.551,07/07/08,Developed,Low Intensity Residential,0-5,11.7
C-312378,10124,AR,34.2351,-93.622,07/12/08,Planted/Cultivated,Pasture/Hay,0-5,20.2
C-312334,10312,AR,36.4789,-91.6528,07/01/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,24.3
C-312352,10380,AR,34.9936,-91.7811,07/09/08,Planted/Cultivated,Pasture/Hay,0-5,18.8
C-312386,10504,AR,35.9075,-94.0986,07/03/08,Forested Upland,Mixed Forest,0-5,105
C-312377,10636,AR,33.0673,-92.9331,07/11/08,Developed,Low Intensity Residential,0-5,15
C-312332,10760,AR,35.9428,-91.565,07/07/08,Planted/Cultivated,Pasture/Hay,0-5,17.6
C-312387,10824,AR,36.2949,-90.8774,07/01/08,Planted/Cultivated,Row Crops,0-5,22.8
C-312379,10892,AR,34.9726,-94.0387,07/10/08,Forested Upland,Mixed Forest,0-5,31.2
C-312342,11404,AR,34.9823,-92.8768,07/09/08,Planted/Cultivated,Pasture/Hay,0-5,14.9
C-312399,11528,AR,36.2184,-92.9668,07/02/08,Planted/Cultivated,Pasture/Hay,0-5,50.4
C-312362,11660,AR,33.4986,-93.6927,07/11/08,Planted/Cultivated,Pasture/Hay,0-5,9.3
C-312360,11784,AR,36.2553,-92.7958,07/02/08,Planted/Cultivated,Pasture/Hay,0-5,8.4
C-312338,11816,AR,36.4582,-94.3851,07/02/08,Developed,Low Intensity Residential,0-5,23.9
C-312327,11848,AR,35.8657,-90.245,07/08/08,Planted/Cultivated,Row Crops,0-5,14.4
C-312371,11916,AR,34.5482,-93.8729,07/10/08,Forested Upland,Mixed Forest,0-5,17.1
C-312411,12428,AR,34.7262,-92.7387,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,23.2
C-312863,12684,AR,33.6812,-91.8481,07/15/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14.9
C-312328,12808,AR,36.2036,-94.0901,07/03/08,Developed,Low Intensity Residential,0-5,23.2
C-312851,12812,AR,34.4453,-91.2884,07/14/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,20.7
C-312330,12940,AR,34.0539,-94.0363,07/10/08,Planted/Cultivated,Pasture/Hay,0-5,10.8
C-312351,13196,AR,35.0649,-93.3922,07/09/08,Developed,Low Intensity Residential,0-5,20.6
C-339080,43,AZ,36.4526,-109.1665,04/22/09,Herbaceous Upland,Grasslands/Herbaceous,0-5,19.7
C-351739,84,AZ,32.494,-109.473,06/21/10,Shrubland,Shrubland,0-5,27.3
C-351740,175,AZ,35.4173,-113.2629,07/18/10,Shrubland,Shrubland,0-5,14.5
C-351741,212,AZ,33.6922,-109.137,06/29/10,Shrubland,Shrubland,0-5,13.2
C-343375,247,AZ,34.65,-113.3945,07/20/10,Shrubland,Shrubland,0-5,48
C-343368,431,AZ,36.0545,-114.046,07/19/10,Shrubland,Shrubland,0-5,24.8
C-351742,468,AZ,33.9395,-110.9655,07/03/10,Forested Upland,Mixed Forest,0-5,16.6
C-351743,523,AZ,31.8178,-111.5432,06/24/10,Shrubland,Shrubland,0-5,28.7
C-351744,532,AZ,32.6656,-110.2759,06/28/10,Shrubland,Shrubland,0-5,27.1
C-343348,687,AZ,36.0484,-112.1142,07/23/10,Forested Upland,Evergreen Forest,0-5,18.4
C-339081,695,AZ,34.2212,-111.4357,04/26/09,Shrubland,Shrubland,0-5,12.6
C-351457,724,AZ,32.8725,-110.5996,06/27/10,Shrubland,Shrubland,0-5,10.2
C-339082,731,AZ,35.1312,-111.186,04/20/09,Herbaceous Upland,Grasslands/Herbaceous,0-5,22.2
C-339083,943,AZ,36.1275,-111.6719,04/20/09,Shrubland,Shrubland,0-5,15.2
C-351458,951,AZ,32.8819,-113.0651,07/07/10,Shrubland,Shrubland,0-5,18.8
C-339084,987,AZ,36.1958,-110.5837,04/23/09,Shrubland,Shrubland,0-5,15.8
C-351459,1015,AZ,33.3708,-114.1644,07/10/10,Shrubland,Shrubland,0-5,20.1
C-351745,1099,AZ,32.238,-112.7487,07/08/10,Shrubland,Shrubland,0-5,32.7
C-351747,1108,AZ,31.9037,-109.6289,06/22/10,Planted/Cultivated,Row Crops,0-5,23.9
C-343370,1199,AZ,35.3291,-113.9767,07/19/10,Shrubland,Shrubland,0-5,25.7
C-351748,1236,AZ,34.7168,-109.0718,07/02/10,Shrubland,Shrubland,0-5,16.1
C-351461,1271,AZ,33.9985,-113.1254,07/11/10,Shrubland,Shrubland,0-5,26.1
C-339085,1492,AZ,34.8209,-111.4247,04/25/09,Forested Upland,Evergreen Forest,0-5,22.2
C-351462,1547,AZ,32.8398,-112.0322,07/06/10,Shrubland,Shrubland,0-5,18.8
C-351749,1556,AZ,32.5819,-110.8467,06/26/10,Shrubland,Shrubland,0-5,36.2
C-351750,1711,AZ,34.8367,-112.6186,07/16/10,Shrubland,Shrubland,0-5,31.7
C-351463,1719,AZ,33.697,-112.1444,07/05/10,Planted/Cultivated,Urban/Recreational Grasses,0-5,19.1
C-339087,1748,AZ,33.5679,-111.2353,04/26/09,Shrubland,Shrubland,0-5,106
C-339088,1755,AZ,35.888,-109.269,04/22/09,Forested Upland,Evergreen Forest,0-5,24.1
C-351464,1975,AZ,33.3278,-113.6826,07/11/10,Shrubland,Shrubland,0-5,28
C-339089,2011,AZ,36.5836,-111.6553,04/21/09,Shrubland,Shrubland,0-5,20.1
C-339090,2091,AZ,36.4215,-109.7194,04/22/09,Shrubland,Shrubland,0-5,11.7
C-343377,2223,AZ,34.9314,-114.0406,07/21/10,Shrubland,Shrubland,0-5,23
C-351751,2295,AZ,33.6462,-113.9748,07/10/10,Shrubland,Shrubland,0-5,20.1
C-351752,2324,AZ,32.0223,-109.9066,06/21/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,31.8
C-351753,2479,AZ,35.4001,-112.8341,07/18/10,Shrubland,Shrubland,0-5,12.4
C-351754,2487,AZ,34.4979,-112.2633,07/15/10,Shrubland,Shrubland,0-5,24
C-339091,2516,AZ,34.29,-110.0268,04/27/09,Shrubland,Shrubland,0-5,23
C-339092,2523,AZ,35.8665,-110.3012,04/19/09,Shrubland,Shrubland,0-5,16.6
C-351755,2571,AZ,32.2494,-111.2777,06/24/10,Shrubland,Shrubland,0-5,24.8
C-351465,2743,AZ,32.9946,-112.5225,07/09/10,Shrubland,Shrubland,0-5,20.4
C-351756,2772,AZ,33.1454,-110.0484,06/28/10,Shrubland,Shrubland,0-5,23.8
C-339093,2779,AZ,36.2341,-109.6102,04/22/09,Shrubland,Shrubland,0-5,13.4
C-351758,2964,AZ,33.5137,-109.3169,06/29/10,Forested Upland,Mixed Forest,0-5,26.9
C-351466,2999,AZ,32.7395,-113.7392,07/09/10,Shrubland,Shrubland,0-5,16
C-339095,3035,AZ,36.815,-110.6109,04/21/09,Shrubland,Shrubland,0-5,9.1
C-343367,3247,AZ,36.5602,-113.9153,07/26/10,Shrubland,Shrubland,0-5,15.7
C-351759,3284,AZ,34.1288,-109.7972,06/30/10,Forested Upland,Mixed Forest,0-5,30
C-351760,3348,AZ,31.968,-110.425,06/21/10,Developed,Low Intensity Residential,0-5,25.1
C-339096,3503,AZ,35.4564,-111.5563,04/24/09,Shrubland,Shrubland,0-5,22.6
C-351761,3511,AZ,34.2702,-112.6503,07/13/10,Shrubland,Shrubland,0-5,11.1
C-351762,3540,AZ,32.8545,-110.3405,06/28/10,Shrubland,Shrubland,0-5,123
C-339097,3547,AZ,35.9212,-111.1544,04/20/09,Shrubland,Shrubland,0-5,11.7
C-343357,3759,AZ,36.5035,-112.9884,07/25/10,Shrubland,Shrubland,0-5,13.1
C-339098,3767,AZ,33.7309,-111.5135,04/26/09,Shrubland,Shrubland,0-5,37.7
C-358498,3831,AZ,32.6675,-113.9883,07/09/10,Shrubland,Shrubland,0-5,20
C-351763,3988,AZ,33.2897,-109.4032,06/29/10,Shrubland,Shrubland,0-5,21.2
C-351467,4023,AZ,33.466,-112.9377,07/05/10,Shrubland,Shrubland,0-5,21.3
C-339099,4139,AZ,36.7194,-109.4202,04/22/09,Shrubland,Shrubland,0-5,11.6
C-351764,4180,AZ,32.3599,-109.5721,06/21/10,Shrubland,Shrubland,0-5,28.5
C-343373,4271,AZ,35.0858,-113.6456,07/20/10,Shrubland,Shrubland,0-5,26.3
C-351765,4343,AZ,34.3823,-113.1592,07/13/10,Shrubland,Shrubland,0-5,28.8
C-343361,4527,AZ,36.1222,-113.504,07/26/10,Shrubland,Shrubland,0-5,18.8
C-351766,4564,AZ,34.2831,-111.0694,07/15/10,Forested Upland,Mixed Forest,0-5,37
C-351650,4599,AZ,33.9415,-114.2117,07/10/10,Shrubland,Shrubland,0-5,13.5
C-351651,4619,AZ,32.1282,-111.1335,06/24/10,Shrubland,Shrubland,0-5,23.1
C-351652,4628,AZ,32.5569,-109.7487,06/28/10,Shrubland,Shrubland,0-5,26.1
C-351653,4783,AZ,35.0001,-112.3534,07/16/10,Shrubland,Shrubland,0-5,19.1
C-351654,4791,AZ,33.9148,-111.3122,07/14/10,Shrubland,Shrubland,0-5,15.9
C-351656,4820,AZ,33.331,-110.845,06/27/10,Shrubland,Shrubland,0-5,27.1
C-351657,4827,AZ,35.0903,-110.9392,07/02/10,Shrubland,Shrubland,0-5,12.1
C-343356,5039,AZ,36.5298,-112.2219,07/25/10,Forested Upland,Mixed Forest,0-5,16.1
C-351658,5047,AZ,32.4347,-112.6576,07/08/10,Shrubland,Shrubland,0-5,20.3
C-339100,5083,AZ,36.5103,-110.4363,04/21/09,Shrubland,Shrubland,0-5,21.4
C-351469,5195,AZ,31.977,-112.7736,07/08/10,Shrubland,Shrubland,0-5,23.1
C-351659,5204,AZ,31.8648,-109.3575,06/22/10,Forested Upland,Mixed Forest,0-5,44
C-343369,5295,AZ,35.7384,-114.0204,07/19/10,Shrubland,Shrubland,0-5,21.7
C-351660,5332,AZ,34.7906,-109.8947,07/02/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,19.8
C-351470,5367,AZ,33.7621,-113.2524,07/11/10,Shrubland,Shrubland,0-5,21.5
C-343365,5551,AZ,36.7351,-114.0408,07/26/10,Shrubland,Shrubland,0-5,20
C-351661,5588,AZ,34.8053,-110.6384,07/03/10,Shrubland,Shrubland,0-5,11.3
C-339058,5595,AZ,36.1669,-110.6183,04/23/09,Shrubland,Shrubland,0-5,16.9
C-351662,5643,AZ,31.5418,-111.5487,06/24/10,Shrubland,Shrubland,0-5,26.2
C-343350,5807,AZ,36.0908,-112.6981,07/22/10,Shrubland,Shrubland,0-5,16.3
C-351471,5815,AZ,33.6593,-112.596,07/05/10,Shrubland,Shrubland,0-5,14.9
C-351663,5844,AZ,33.5604,-110.6783,06/28/10,Forested Upland,Mixed Forest,0-5,6.3
C-339059,5851,AZ,36.1781,-109.0773,04/22/09,Shrubland,Shrubland,0-5,17.5
C-351472,6071,AZ,33.3547,-113.6916,07/11/10,Shrubland,Shrubland,0-5,19.2
C-339060,6107,AZ,36.1603,-111.3842,04/21/09,Shrubland,Shrubland,0-5,14.5
C-343374,6319,AZ,34.9656,-113.7029,07/20/10,Shrubland,Shrubland,0-5,26.6
C-351664,6391,AZ,33.7672,-113.5579,07/10/10,Shrubland,Shrubland,0-5,26.7
C-351665,6420,AZ,31.7555,-109.7459,06/23/10,Planted/Cultivated,Fallow,0-5,39.9
C-343349,6575,AZ,35.7672,-112.8131,07/22/10,Shrubland,Shrubland,0-5,22
C-351473,6583,AZ,33.8049,-112.0351,07/14/10,Shrubland,Shrubland,0-5,21.9
C-351666,6612,AZ,34.302,-110.3482,06/30/10,Forested Upland,Evergreen Forest,0-5,14.1
C-339061,6619,AZ,35.4736,-110.6492,04/20/09,Barren,Bare Rock/Sand/Clay,0-5,9.9
C-351667,6667,AZ,32.2922,-111.347,06/24/10,Shrubland,Shrubland,0-5,28.9
C-351474,6839,AZ,32.8121,-112.3241,07/06/10,Shrubland,Shrubland,0-5,16.8
C-339062,6875,AZ,35.602,-109.7411,04/19/09,Shrubland,Shrubland,0-5,15.3
