Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-318356,187,WY,43.6402,-107.4446,07/19/08,Shrubland,Shrubland,0-5,14.6
C-318292,251,WY,41.6089,-107.637,07/03/08,Shrubland,Shrubland,0-5,22.9
C-318388,347,WY,42.4492,-104.4789,07/07/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15.3
C-318300,379,WY,42.8591,-110.3044,08/03/08,Shrubland,Shrubland,0-5,15.7
C-318375,443,WY,44.0302,-109.1815,07/21/08,Forested Upland,Mixed Forest,0-5,24.4
C-319929,603,WY,41.2399,-106.0807,06/30/08,Shrubland,Shrubland,0-5,13.4
C-318949,699,WY,42.8976,-108.549,07/31/08,Shrubland,Shrubland,0-5,18.6
C-318950,814,WY,44.7795,-109.1621,07/22/08,Shrubland,Shrubland,0-5,17.5
C-318392,891,WY,43.6075,-110.4042,07/29/08,Shrubland,Shrubland,0-5,19
C-318304,955,WY,41.237,-108.4193,08/06/08,Shrubland,Shrubland,0-5,21.6
C-318931,971,WY,44.4957,-105.645,07/16/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,18
C-318340,1051,WY,43.8005,-104.4242,07/13/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,18.9
C-318921,1211,WY,42.3901,-107.6654,07/04/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,33.1
C-319930,1275,WY,41.6007,-106.7485,07/03/08,Shrubland,Shrubland,0-5,17.1
C-318923,1371,WY,42.1909,-106.1618,07/05/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,22.2
C-318299,1403,WY,43.1794,-110.517,08/02/08,Forested Upland,Mixed Forest,0-5,28.8
C-318377,1467,WY,44.1073,-108.376,07/19/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,13.7
C-318366,1483,WY,42.7606,-106.1335,07/09/08,Shrubland,Shrubland,0-5,20.3
C-318411,1723,WY,42.723,-108.155,07/31/08,Shrubland,Shrubland,0-5,22.1
C-318378,1726,WY,44.9221,-105.4011,07/14/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14.8
C-318925,1739,WY,43.5787,-104.6579,07/13/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,17.9
C-318930,1774,WY,44.9905,-110.0544,07/23/08,Forested Upland,Evergreen Forest,0-5,22.8
C-318420,1915,WY,43.6934,-110.577,07/29/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,18
C-318305,1979,WY,41.7856,-108.8163,08/05/08,Shrubland,Shrubland,0-5,17.1
C-318397,1995,WY,44.3525,-106.5311,07/17/08,Shrubland,Shrubland,0-5,19.4
C-318936,2235,WY,42.6193,-107.2032,07/11/08,Shrubland,Shrubland,0-5,16.7
C-318307,2299,WY,41.0158,-108.6469,08/06/08,Shrubland,Shrubland,0-5,19.2
C-318423,2395,WY,42.0573,-105.2522,07/06/08,Shrubland,Shrubland,0-5,18.4
C-318313,2427,WY,42.7541,-109.7549,08/01/08,Shrubland,Shrubland,0-5,19.6
C-318383,2491,WY,43.639,-108.2849,07/20/08,Shrubland,Shrubland,0-5,19.3
C-318947,2507,WY,42.7208,-105.0104,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,16.9
C-318345,2606,WY,44.6756,-108.6743,07/21/08,Shrubland,Shrubland,0-5,17.2
C-346732,2651,WY,41.2718,-105.1234,06/30/08,Shrubland,Shrubland,0-5,20.1
C-318419,2747,WY,42.8392,-108.8755,07/31/08,Shrubland,Shrubland,0-5,12.6
C-318425,2763,WY,42.7906,-104.8196,07/08/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,19.4
C-318314,2875,WY,41.436,-110.8989,08/04/08,Shrubland,Shrubland,0-5,12.8
C-318394,2939,WY,44.2761,-108.0906,07/19/08,Shrubland,Shrubland,0-5,16.9
C-318374,3003,WY,42.0072,-107.3262,07/04/08,Shrubland,Shrubland,0-5,16.7
C-319920,3163,WY,41.4945,-104.7173,06/30/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14.3
C-318395,3259,WY,43.1139,-107.7203,07/20/08,Shrubland,Shrubland,0-5,19.1
C-318386,3374,WY,44.7714,-106.9066,07/17/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14.4
C-318372,3419,WY,41.6939,-105.5989,07/06/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15
C-318938,3515,WY,44.1407,-109.0802,07/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15.3
C-318348,3531,WY,43.1886,-105.2663,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,18
C-318315,3771,WY,42.0949,-108.6237,08/05/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,23.2
C-318341,3787,WY,43.652,-105.4583,07/12/08,Shrubland,Shrubland,0-5,20.3
C-318293,3899,WY,42.0042,-109.4916,08/01/08,Shrubland,Shrubland,0-5,20.4
C-318953,3963,WY,44.1655,-107.1479,07/17/08,Forested Upland,Mixed Forest,0-5,21.7
C-318376,4027,WY,42.2482,-106.8938,07/05/08,Shrubland,Shrubland,0-5,13.7
C-318922,4043,WY,44.4495,-104.722,07/14/08,Shrubland,Shrubland,0-5,16.6
C-318301,4219,WY,41.3813,-109.5071,08/05/08,Shrubland,Shrubland,0-5,17.3
C-318384,4283,WY,43.8817,-108.0239,07/20/08,Shrubland,Shrubland,0-5,15.3
C-319919,4347,WY,41.3766,-106.5152,07/02/08,Forested Upland,Mixed Forest,0-5,14.4
C-318945,4443,WY,42.0031,-104.5961,07/07/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,19.9
C-318325,4475,WY,43.0986,-110.4833,08/02/08,Shrubland,Shrubland,0-5,11.9
C-318929,4539,WY,43.6887,-108.8886,07/20/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,25.5
C-318415,4555,WY,43.2898,-105.7103,07/12/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,15.8
C-318948,4795,WY,42.5606,-108.832,07/31/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,26.5
C-318365,4987,WY,43.7353,-110.0167,07/29/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,31.1
C-318328,5051,WY,41.4516,-108.6902,08/06/08,Shrubland,Shrubland,0-5,14.6
